um,degrees
25.26,4.015
25.3189970501,3.9611
25.3779941003,3.8843
25.4369911504,4.0835
25.4959882006,3.936
25.5549852507,3.9917
25.6139823009,3.9352
25.672979351,3.8619
25.7319764012,3.6157
25.7909734513,3.6604
25.8499705015,3.6106
25.9089675516,3.8261
25.9679646018,3.7055
26.0269616519,3.4743
26.0859587021,3.5856
26.1449557522,3.5561
26.2039528024,3.985
26.2629498525,3.6127
26.3219469027,3.3393
26.3809439528,3.5159
26.4399410029,3.5199
26.4989380531,3.6525
26.5579351032,3.5797
26.6169321534,3.5768
26.6759292035,3.7496
26.7349262537,3.3721
26.7939233038,3.2418
26.852920354,3.2129
26.9119174041,3.2517
26.9709144543,2.9517
27.0299115044,3.4151
27.0889085546,3.4619
27.1479056047,3.5867
27.2069026549,3.4638
27.265899705,2.9769
27.3248967552,2.6746
27.3838938053,2.0166
27.4428908555,1.8013
27.5018879056,1.8858
27.5608849558,1.7037
27.6198820059,1.6769
27.678879056,1.8275
27.7378761062,1.7026
27.7968731563,1.6694
27.8558702065,1.5375
27.9148672566,1.608
27.9738643068,1.6148
28.0328613569,1.7308
28.0918584071,1.656
28.1508554572,1.9711
28.2098525074,1.8701
28.2688495575,1.9341
28.3278466077,1.857
28.3868436578,2.0547
28.445840708,1.948
28.5048377581,1.8224
28.5638348083,1.7695
28.6228318584,1.681
28.6818289086,2.2438
28.7408259587,1.8801
28.7998230088,2.2034
28.858820059,2.01
28.9178171091,2.0286
28.9768141593,2.0481
29.0358112094,1.8872
29.0948082596,2.2137
29.1538053097,1.8069
29.2128023599,1.8629
29.27179941,1.8392
29.3307964602,1.4123
29.3897935103,1.4275
29.4487905605,1.4604
29.5077876106,1.4876
29.5667846608,1.3351
29.6257817109,1.167
29.6847787611,1.3982
29.7437758112,1.0441
29.8027728614,1.077
29.8617699115,1.0155
29.9207669617,0.67371
29.9797640118,0.80126
30.0387610619,0.89661
30.0977581121,0.8225
30.1567551622,0.82438
30.2157522124,1.0563
30.2747492625,1.2242
30.3337463127,1.2418
30.3927433628,1.1023
30.451740413,1.1124
30.5107374631,1.1261
30.5697345133,1.1318
30.6287315634,1.2339
30.6877286136,0.93434
30.7467256637,1.315
30.8057227139,0.75618
30.864719764,1.3408
30.9237168142,0.99292
30.9827138643,0.94637
31.0417109145,1.2852
31.1007079646,1.1301
31.1597050147,1.4013
31.2187020649,1.3613
31.277699115,1.791
31.3366961652,1.4845
31.3956932153,1.4743
31.4546902655,1.6714
31.5136873156,1.7496
31.5726843658,1.9664
31.6316814159,1.8994
31.6906784661,1.7399
31.7496755162,1.9594
31.8086725664,2.0411
31.8676696165,1.733
31.9266666667,2.0384
31.9856637168,2.1652
32.044660767,1.758
32.1036578171,2.0449
32.1626548673,2.0072
32.2216519174,2.0772
32.2806489676,2.1951
32.3396460177,2.1145
32.3986430678,2.4256
32.457640118,2.0644
32.5166371681,1.9624
32.5756342183,1.9198
32.6346312684,2.0367
32.6936283186,2.1542
32.7526253687,2.0454
32.8116224189,2.0744
32.870619469,2.1261
32.9296165192,2.265
32.9886135693,2.1478
33.0476106195,2.4707
33.1066076696,2.1679
33.1656047198,2.3103
33.2246017699,2.1362
33.2835988201,2.181
33.3425958702,2.0539
33.4015929204,2.3008
33.4605899705,2.2284
33.5195870206,2.0632
33.5785840708,2.2111
33.6375811209,2.269
33.6965781711,2.0516
33.7555752212,2.371
33.8145722714,1.9098
33.8735693215,1.8359
33.9325663717,2.0363
33.9915634218,1.8969
34.050560472,2.1382
34.1095575221,2.1442
34.1685545723,1.7103
34.2275516224,1.9154
34.2865486726,2.3093
34.3455457227,2.2156
34.4045427729,2.6573
34.463539823,2.3369
34.5225368732,2.6951
34.5815339233,2.6543
34.6405309735,3.7755
34.6995280236,3.6796
34.7585250737,3.6413
34.8175221239,3.991
34.876519174,3.8599
34.9355162242,3.8677
34.9945132743,3.8241
35.0535103245,4.0214
35.1125073746,3.9357
35.1715044248,3.9114
35.2305014749,3.6975
35.2894985251,3.9507
35.3484955752,3.9482
35.4074926254,3.7863
35.4664896755,4.0449
35.5254867257,4.1352
35.5844837758,3.9169
35.643480826,3.8593
35.7024778761,3.9201
35.7614749263,2.5984
35.8204719764,2.3463
35.8794690265,2.2973
35.9384660767,2.5046
35.9974631268,2.5108
36.056460177,2.4553
36.1154572271,2.6327
36.1744542773,2.6799
36.2334513274,2.635
36.2924483776,2.9238
36.3514454277,3.0193
36.4104424779,3.0145
36.469439528,2.9966
36.5284365782,2.828
36.5874336283,2.7411
36.6464306785,2.9214
36.7054277286,2.8524
36.7644247788,2.8041
36.8234218289,2.8486
36.8824188791,2.791
36.9414159292,2.9265
37.0004129794,2.7968
37.0594100295,2.813
37.1184070796,2.7499
37.1774041298,2.9321
37.2364011799,3.0035
37.2953982301,3.1272
37.3543952802,2.8585
37.4133923304,3.1463
37.4723893805,3.2134
37.5313864307,3.3337
37.5903834808,3.4979
37.649380531,3.6746
37.7083775811,3.5624
37.7673746313,3.5922
37.8263716814,3.7824
37.8853687316,3.843
37.9443657817,3.8188
38.0033628319,3.8394
38.062359882,3.7892
38.1213569322,3.5892
38.1803539823,3.3603
38.2393510324,3.3404
38.2983480826,3.3289
38.3573451327,2.9818
38.4163421829,2.7896
38.475339233,2.5969
38.5343362832,2.6268
38.5933333333,2.3026
38.6523303835,1.9224
38.7113274336,1.7258
38.7703244838,1.7729
38.8293215339,1.5685
38.8883185841,1.5936
38.9473156342,1.4944
39.0063126844,1.4145
39.0653097345,1.2971
39.1243067847,1.0792
39.1833038348,1.172
39.242300885,1.019
39.3012979351,0.93631
39.3602949853,0.99196
39.4192920354,0.65889
39.4782890855,0.93849
39.5372861357,0.59404
39.5962831858,0.7353
39.655280236,0.6591
39.7142772861,0.65143
39.7732743363,0.66564
39.8322713864,0.73109
39.8912684366,0.62498
39.9502654867,0.72631
40.0092625369,0.81779
40.068259587,0.86768
40.1272566372,0.85542
40.1862536873,1.1822
40.2452507375,0.98511
40.3042477876,1.0477
40.3632448378,1.0036
40.4222418879,1.0464
40.4812389381,0.97379
40.5402359882,0.99156
40.5992330383,1.0077
40.6582300885,0.9358
40.7172271386,0.90381
40.7762241888,0.92577
40.8352212389,0.91203
40.8942182891,0.74791
40.9532153392,0.84304
41.0122123894,0.75514
41.0712094395,0.96068
41.1302064897,1.127
41.1892035398,1.36
41.24820059,1.3356
41.3071976401,1.4994
41.3661946903,1.6877
41.4251917404,1.7714
41.4841887906,1.9037
41.5431858407,2.0982
41.6021828909,2.1799
41.661179941,2.2764
41.7201769912,2.3317
41.7791740413,2.2851
41.8381710914,2.3056
41.8971681416,2.2818
41.9561651917,2.2106
42.0151622419,3.096
42.074159292,3.2585
42.1331563422,3.9067
42.1921533923,3.983
42.2511504425,4.0289
42.3101474926,3.7736
42.3691445428,3.6407
42.4281415929,3.5908
42.4871386431,3.6982
42.5461356932,3.5419
42.6051327434,3.6374
42.6641297935,3.5551
42.7231268437,3.3888
42.7821238938,3.3112
42.841120944,3.2582
42.9001179941,3.2736
42.9591150442,2.9489
43.0181120944,3.0745
43.0771091445,2.7779
43.1361061947,3.0647
43.1951032448,2.7518
43.254100295,2.8107
43.3130973451,2.787
43.3720943953,2.8081
43.4310914454,2.7065
43.4900884956,2.7878
43.5490855457,2.5674
43.6080825959,2.6606
43.667079646,2.7498
43.7260766962,2.634
43.7850737463,2.8031
43.8440707965,2.7391
43.9030678466,2.5448
43.9620648968,2.8497
44.0210619469,2.5697
44.0800589971,2.7051
44.1390560472,2.6323
44.1980530973,2.5567
44.2570501475,2.3497
44.3160471976,2.4024
44.3750442478,2.3511
44.4340412979,2.3863
44.4930383481,2.4422
44.5520353982,2.4819
44.6110324484,2.5137
44.6700294985,2.4062
44.7290265487,2.5332
44.7880235988,2.2873
44.847020649,2.3997
44.9060176991,2.3959
44.9650147493,2.3607
45.0240117994,2.2745
45.0830088496,2.3874
45.1420058997,2.4177
45.2010029499,2.2651
45.26,2.1959
