um,degrees
18.36,2.0775
18.4160471976,2.0536
18.4720943953,1.9769
18.5281415929,1.9876
18.5841887906,1.8837
18.6402359882,1.8863
18.6962831858,1.9633
18.7523303835,1.77
18.8083775811,1.7141
18.8644247788,1.8454
18.9204719764,1.7906
18.976519174,1.6895
19.0325663717,1.6194
19.0886135693,1.5767
19.144660767,1.632
19.2007079646,1.534
19.2567551622,1.4411
19.3128023599,1.4149
19.3688495575,1.3203
19.4248967552,1.2389
19.4809439528,1.3302
19.5369911504,1.2925
19.5930383481,1.3326
19.6490855457,1.3101
19.7051327434,1.4262
19.761179941,1.305
19.8172271386,1.2779
19.8732743363,1.295
19.9293215339,1.3044
19.9853687316,1.2317
20.0414159292,1.3176
20.0974631268,1.0541
20.1535103245,1.2184
20.2095575221,1.2226
20.2656047198,1.1514
20.3216519174,0.79606
20.377699115,0.92437
20.4337463127,1.0642
20.4897935103,1.2099
20.545840708,0.92156
20.6018879056,0.99332
20.6579351032,0.81773
20.7139823009,0.84739
20.7700294985,0.76681
20.8260766962,0.86828
20.8821238938,0.97343
20.9381710914,1.0689
20.9942182891,1.117
21.0502654867,1.1062
21.1063126844,1.0941
21.162359882,1.1222
21.2184070796,1.0084
21.2744542773,1.1703
21.3305014749,1.0386
21.3865486726,1.0582
21.4425958702,0.87908
21.4986430678,1.0077
21.5546902655,0.89393
21.6107374631,0.99808
21.6667846608,0.79159
21.7228318584,0.76061
21.778879056,0.72004
21.8349262537,0.88037
21.8909734513,0.78117
21.947020649,0.8625
22.0030678466,0.73065
22.0591150442,0.79127
22.1151622419,0.79433
22.1712094395,0.92068
22.2272566372,0.87532
22.2833038348,0.97989
22.3393510324,0.96073
22.3953982301,1.1444
22.4514454277,1.0568
22.5074926254,1.0782
22.563539823,1.0008
22.6195870206,1.0104
22.6756342183,1.1046
22.7316814159,0.92131
22.7877286136,0.93407
22.8437758112,0.99145
22.8998230088,1.1562
22.9558702065,1.1649
23.0119174041,1.2151
23.0679646018,1.2506
23.1240117994,1.2801
23.1800589971,1.259
23.2361061947,1.3219
23.2921533923,1.2222
23.34820059,1.386
23.4042477876,1.4497
23.4602949853,1.4941
23.5163421829,1.3695
23.5723893805,1.3118
23.6284365782,1.4817
23.6844837758,1.5335
23.7405309735,1.5174
23.7965781711,1.6079
23.8526253687,1.7562
23.9086725664,1.6619
23.964719764,1.6752
24.0207669617,0.6956
24.0768141593,1.6223
24.1328613569,1.8213
24.1889085546,2.0998
24.2449557522,1.6979
24.3010029499,1.7165
24.3570501475,2.2811
24.4130973451,2.8726
24.4691445428,2.8631
24.5251917404,2.8727
24.5812389381,2.7967
24.6372861357,2.5723
24.6933333333,2.5387
