um,degrees
0.02295302,2.8681
0.094295302,2.9417
0.165637584,3.2051
0.236979866,3.1257
0.308322148,3.2037
0.37966443,3.191
0.451006711,3.4343
0.522348993,3.1517
0.593691275,3.44
0.665033557,3.7051
0.736375839,3.8235
0.807718121,4.1412
0.879060403,4.1235
0.950402685,4.0522
1.021744966,4.2744
1.093087248,3.9309
1.16442953,4.2449
1.235771812,4.3483
1.307114094,4.5285
1.378456376,4.3961
1.449798658,4.5505
1.52114094,4.1426
1.592483221,3.9269
1.663825503,4.1845
1.735167785,4.2466
1.806510067,4.2
1.877852349,4.0066
1.949194631,4.0618
2.020536913,4.0364
2.091879195,4.2226
2.163221477,3.9383
2.234563758,4.0815
2.30590604,4.0847
2.377248322,3.8361
2.448590604,3.9467
2.519932886,4.1009
2.591275168,3.859
2.66261745,3.7368
2.733959732,3.7484
2.805302013,3.4992
2.876644295,3.3819
2.947986577,3.4384
3.019328859,3.5511
3.090671141,3.4496
3.162013423,3.2129
3.233355705,3.2909
3.304697987,3.3401
3.376040268,3.3146
3.44738255,2.9526
3.518724832,2.8934
3.590067114,2.8155
3.661409396,2.9656
3.732751678,2.7828
3.80409396,2.6853
3.875436242,2.3837
3.946778523,2.4128
4.018120805,2.3498
4.089463087,2.0298
4.160805369,2.0882
4.232147651,1.8489
4.303489933,1.9897
4.374832215,1.4577
4.446174497,1.3887
4.517516779,1.4283
4.58885906,1.5568
4.660201342,1.3991
4.731543624,1.3091
4.802885906,1.2425
4.874228188,1.0593
4.94557047,0.8989
5.016912752,0.78758
5.088255034,0.91936
5.159597315,0.65818
5.230939597,0.56382
5.302281879,0.54562
5.373624161,0.50961
5.444966443,0.48379
5.516308725,0.48252
5.587651007,0.27627
5.658993289,0.23902
5.73033557,0.25442
5.801677852,0.32032
5.873020134,0.20466
5.944362416,0.17696
6.015704698,0.26501
6.08704698,0.23386
6.158389262,0.15929
6.229731544,0.23047
6.301073826,0.12397
6.372416107,0.18792
6.443758389,0.21978
6.515100671,0.35344
6.586442953,0.38108
6.657785235,0.79326
6.729127517,0.8345
