um,uV/mW
0.552727,0.103209856
1.105454,0.108307756
1.658181,0.104114809
2.210908,0.123254558
2.763635,0.146572173
3.316362,0.086784964
3.869089,0.036062365
4.421816,0.024011412
4.974543,0.008023914
5.52727,0.007073714
6.079997,0.006093348
6.632724,0.005128065
7.185451,0.007345199
7.738178,0.00657599
8.290905,0.008581968
8.843632,0.016123241
9.396359,0.010271213
9.949086,0.010738772
10.501813,0.004962157
11.05454,0.011417487
11.607267,0.007496025
12.159994,0.0050979
12.712721,0.002533868
13.265448,0.007390447
13.818175,0.001372512
14.370902,0.00088987
14.923629,0.000633467
15.476356,-0.001266934
16.029083,0.002533868
16.58181,0.002005978
17.134537,0.005414634
17.687264,0.00491691
18.239991,0.00432869
18.792718,0.001749575
19.345445,-0.002021061
19.898172,-0.003046674
20.450899,-0.004766084
21.003626,-0.007616685
21.556353,-0.005218561
22.10908,-0.005173313
22.661807,-0.008129492
23.214534,0.00254895
23.767261,-0.000301651
24.319988,-0.005067735
24.872715,-0.001266934
25.425442,-0.014087097
25.978169,-0.012880493
26.530896,-0.016636047
27.083623,-0.017616413
27.63635,-0.013875941
28.189077,-0.013529043
28.741804,-0.01742034
29.294531,-0.022352332
29.847258,-0.016530469
30.399985,-0.014087097
30.952712,-0.01665113
31.505439,-0.010859432
32.058166,-0.006892723
32.610893,-0.00515823
33.16362,-0.006259256
33.716347,-0.007013383
34.269074,-0.006832393
34.821801,-0.004238195
35.374528,-0.004389021
35.927255,-0.001372512
36.479982,0.003876214
37.032709,0.004434268
37.585436,0.003966709
38.138163,0.002594198
38.69089,0.001191521
39.243617,-0.004585094
39.796344,-0.001282016
40.349071,-6.03E-05
40.901798,0.000482641
41.454525,-0.002684693
42.007252,-0.002473537
42.559979,0.001297099
43.112706,0.000482641
43.665433,-0.00325783
44.21816,0.000527889
44.770887,-0.006907806
45.323614,0.002443372
45.876341,-0.004283443
46.429068,-0.006093348
46.981795,-0.001101026
47.534522,0.000165908
48.087249,-0.002533868
48.639976,-0.004057205
49.192703,-0.002880766
49.74543,-0.003876214
50.298157,-0.001930566
50.850884,-0.004343773
51.403611,-0.002066309
51.956338,0.001327264
52.509065,0.000799375
53.061792,-0.008717711
53.614519,-0.013619538
54.167246,-0.005399551
54.719973,-0.002986344
55.2727,-0.00236796
55.825427,-0.000678715
56.378154,0.00076921
56.930881,-0.001674163
57.483608,0.004886745
58.036335,-0.004358856
58.589062,-0.001417759
59.141789,-0.000693797
59.694516,-0.005112983
60.247243,-0.006183843
60.79997,-0.008838371
61.352697,-0.000135743
61.905424,-0.00912494
62.458151,-0.010814185
63.010878,-0.00823507
63.563605,-0.011010258
64.116332,-0.002217134
64.669059,-0.004343773
65.221786,-0.001372512
65.774513,-0.002880766
66.32724,-0.000286568
66.879967,-0.00675698
67.432694,-0.002307629
67.985421,-7.54E-05
68.538148,-0.002684693
69.090875,0.001885318
69.643602,-0.002398125
70.196329,-0.003604728
70.749056,-0.005580542
71.301783,-0.005490046
71.85451,-0.004373938
72.407237,0.001312181
72.959964,-0.002036144
73.512691,-0.006772063
74.065418,-0.000693797
74.618145,-0.004434268
75.170872,0.005263808
75.723599,-0.003604728
76.276326,-0.007496025
76.829053,-0.003514233
77.38178,-0.006108431
77.934507,-0.007677015
78.487234,-0.004042122
79.039961,-0.006681567
79.592688,-0.004253278
80.145415,-0.002850601
80.698142,-0.007933419
81.250869,-0.010180718
81.803596,-0.019818464
82.356323,-0.019290575
82.90905,-0.016877368
83.461777,-0.013770364
84.014504,-0.008023914
84.567231,-0.016786873
85.119958,-0.01913975
85.672685,-0.019305658
86.225412,-0.014720564
86.778139,-0.019109585
87.330866,-0.017254432
87.883593,-0.018596778
88.43632,-0.024101907
88.989047,-0.02601739
89.541774,-0.029893604
90.094501,-0.038671646
90.647228,-0.046062093
91.199955,-0.072366051
