gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.00980094418794835
time constant:,0.2
reference phase:,169.111
notes:,position 4
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
0.0001722,-6.6e-05,3.8228400000000006e-07,-1.4652000000000002e-07,0,0
9.56e-05,-2e-06,2.1223200000000002e-07,-4.4399999999999996e-09,1,0
4.28e-05,-5.8e-05,9.5016e-08,-1.2876e-07,2,0
0.0001074,-2.1e-05,2.38428e-07,-4.662e-08,3,0
8.2e-05,-3.26e-05,1.8204e-07,-7.237200000000001e-08,4,0
0.0001474,-3.9e-05,3.2722800000000005e-07,-8.658e-08,5,0
0.0003978,-3.4e-06,8.831160000000001e-07,-7.548e-09,6,0
0.0007844,-6.14e-05,1.7413680000000001e-06,-1.3630800000000003e-07,7,0
0.0004198,-1.58e-05,9.319560000000001e-07,-3.507600000000001e-08,8,0
0.000157,-6.78e-05,3.4853999999999997e-07,-1.50516e-07,9,0
0.0001856,-1.84e-05,4.1203200000000007e-07,-4.0848e-08,10,0
5.18e-05,-5.02e-05,1.14996e-07,-1.1144400000000002e-07,11,0
8.92e-05,-3.54e-05,1.9802400000000003e-07,-7.8588e-08,12,0
3.74e-05,-2.18e-05,8.302800000000001e-08,-4.839600000000001e-08,13,0
5.34e-05,-5.5e-05,1.1854800000000001e-07,-1.2210000000000001e-07,14,0
2.6e-05,8.48e-05,5.7720000000000003e-08,1.8825600000000001e-07,0,1
7.02e-05,-5.02e-05,1.55844e-07,-1.1144400000000002e-07,1,1
8.12e-05,-1.76e-05,1.80264e-07,-3.907200000000001e-08,2,1
6.04e-05,-2.34e-05,1.34088e-07,-5.1948e-08,3,1
8.04e-05,-0.0001324,1.7848800000000003e-07,-2.93928e-07,4,1
0.0001062,2.4e-06,2.3576400000000005e-07,5.328000000000001e-09,5,1
0.0004754,-6.64e-05,1.0553880000000002e-06,-1.4740800000000002e-07,6,1
0.0011066,-6.2e-06,2.456652e-06,-1.3764e-08,7,1
0.0007344,-8.38e-05,1.630368e-06,-1.86036e-07,8,1
0.0002014,-4e-06,4.47108e-07,-8.879999999999999e-09,9,1
9.64e-05,-1.7e-05,2.1400800000000002e-07,-3.774e-08,10,1
9.4e-05,-4.4e-05,2.0868e-07,-9.768e-08,11,1
6.38e-05,-3.88e-05,1.41636e-07,-8.613600000000001e-08,12,1
8.48e-05,-4.48e-05,1.8825600000000001e-07,-9.9456e-08,13,1
2.02e-05,-1.58e-05,4.484400000000001e-08,-3.507600000000001e-08,14,1
7.24e-05,-5.7e-05,1.60728e-07,-1.2654000000000002e-07,0,2
0.0001178,1.5e-05,2.61516e-07,3.33e-08,1,2
3.6e-05,-2e-05,7.992e-08,-4.440000000000001e-08,2,2
0.0001052,-5.06e-05,2.33544e-07,-1.12332e-07,3,2
0.0001146,-8e-06,2.54412e-07,-1.7759999999999998e-08,4,2
7.08e-05,-5.76e-05,1.57176e-07,-1.2787200000000002e-07,5,2
0.0006338,4.8e-05,1.4070360000000002e-06,1.0656000000000001e-07,6,2
0.0013838,-6e-07,3.072036e-06,-1.3320000000000002e-09,7,2
0.0008786,-3.68e-05,1.950492e-06,-8.1696e-08,8,2
0.0001768,-1.26e-05,3.92496e-07,-2.7972000000000004e-08,9,2
9.48e-05,-4.82e-05,2.1045600000000004e-07,-1.0700400000000001e-07,10,2
9e-05,7e-06,1.9980000000000003e-07,1.554e-08,11,2
1.66e-05,-2.82e-05,3.6852000000000005e-08,-6.260400000000001e-08,12,2
6.84e-05,-5e-05,1.51848e-07,-1.1100000000000001e-07,13,2
2.12e-05,-2.4e-05,4.7064000000000004e-08,-5.3280000000000005e-08,14,2
