gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009812667518651364
time constant:,0.2
reference phase:,173.497
notes:,"position 12, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-0.0001396,-1.28e-05,-3.09912e-07,-2.8416e-08,0,0
-0.0001292,-3.4e-06,-2.8682400000000003e-07,-7.548e-09,1,0
-0.0001404,-2.6e-06,-3.11688e-07,-5.772000000000001e-09,2,0
-0.0001484,2.28e-05,-3.29448e-07,5.0615999999999995e-08,3,0
-0.000153,3e-06,-3.3966e-07,6.6600000000000006e-09,4,0
-0.0001392,-1.44e-05,-3.0902400000000005e-07,-3.1968000000000005e-08,5,0
-0.00014,1.6e-06,-3.108e-07,3.552e-09,6,0
-0.00015,-2e-06,-3.3300000000000003e-07,-4.4399999999999996e-09,7,0
-0.0001638,-1.3e-05,-3.6363600000000004e-07,-2.8860000000000002e-08,8,0
-0.000153,3.6e-06,-3.3966e-07,7.992000000000001e-09,9,0
-0.000148,-1e-06,-3.2856e-07,-2.2199999999999998e-09,10,0
-0.0001218,-5.8e-06,-2.7039600000000003e-07,-1.2876000000000002e-08,11,0
-0.0001332,-6.4e-06,-2.9570400000000004e-07,-1.4208e-08,12,0
-0.0001352,-5e-06,-3.0014400000000004e-07,-1.1100000000000002e-08,13,0
-0.0001578,2.82e-05,-3.5031599999999997e-07,6.260400000000001e-08,14,0
-0.000153,-7e-06,-3.3966e-07,-1.554e-08,0,1
-0.0001512,1.4e-06,-3.35664e-07,3.108e-09,1,1
-0.0001508,-5e-06,-3.347760000000001e-07,-1.1100000000000002e-08,2,1
-0.0001738,1.28e-05,-3.85836e-07,2.8416e-08,3,1
-0.0001196,-6.22e-05,-2.6551200000000006e-07,-1.3808399999999998e-07,4,1
-0.000169,-5e-06,-3.7518e-07,-1.1100000000000002e-08,5,1
-0.0001686,-5.6e-06,-3.7429200000000005e-07,-1.2432e-08,6,1
-0.0001726,1.4e-06,-3.83172e-07,3.108e-09,7,1
-0.00018,-4.8e-06,-3.9960000000000006e-07,-1.0656000000000001e-08,8,1
-0.000189,1.98e-05,-4.1958000000000006e-07,4.3956000000000007e-08,9,1
-0.0001588,-1.8e-06,-3.525360000000001e-07,-3.996000000000001e-09,10,1
-0.0001294,-1.44e-05,-2.8726800000000005e-07,-3.1968000000000005e-08,11,1
-0.0001412,-6e-07,-3.13464e-07,-1.3320000000000002e-09,12,1
-0.0001392,-3.8e-06,-3.0902400000000005e-07,-8.436e-09,13,1
-0.0001466,-6.2e-06,-3.2545200000000005e-07,-1.3764e-08,14,1
-0.0001548,5.8e-06,-3.4365600000000004e-07,1.2876000000000002e-08,0,2
-0.0001914,-1.72e-05,-4.24908e-07,-3.8184000000000006e-08,1,2
-0.0001694,3.4e-06,-3.76068e-07,7.548e-09,2,2
-0.0001686,1.1e-05,-3.7429200000000005e-07,2.442e-08,3,2
-0.0001974,2.2e-06,-4.38228e-07,4.884000000000001e-09,4,2
-0.0002084,4.8e-06,-4.6264800000000003e-07,1.0656000000000001e-08,5,2
-0.0002272,0.0,-5.043840000000001e-07,0.0,6,2
-0.0002542,9.2e-06,-5.643240000000001e-07,2.0424e-08,7,2
-0.0002448,-2.44e-05,-5.43456e-07,-5.4168000000000006e-08,8,2
-0.0002384,6.8e-06,-5.292480000000001e-07,1.5096e-08,9,2
-0.0002194,-1.8e-06,-4.87068e-07,-3.996000000000001e-09,10,2
-0.0002158,4.8e-06,-4.79076e-07,1.0656000000000001e-08,11,2
-0.0001926,1.2e-06,-4.27572e-07,2.6640000000000003e-09,12,2
-0.0001748,-7.4e-06,-3.88056e-07,-1.6428000000000003e-08,13,2
-0.000163,-7.6e-06,-3.6186000000000004e-07,-1.6872e-08,14,2
-0.0002232,-2e-07,-4.955040000000001e-07,-4.44e-10,0,3
-0.0002376,6.8e-06,-5.274720000000001e-07,1.5096e-08,1,3
-0.0002634,2.6e-06,-5.84748e-07,5.772000000000001e-09,2,3
-0.0002822,3.6e-06,-6.264839999999999e-07,7.992000000000001e-09,3,3
-0.0002918,-1.82e-05,-6.477960000000001e-07,-4.0404e-08,4,3
-0.0003592,1.6e-05,-7.97424e-07,3.5519999999999996e-08,5,3
-0.0004518,3.08e-05,-1.002996e-06,6.837600000000002e-08,6,3
-0.0004878,8.84e-05,-1.082916e-06,1.96248e-07,7,3
-0.0004606,6.2e-06,-1.022532e-06,1.3764e-08,8,3
-0.0003838,8.8e-06,-8.520360000000001e-07,1.9536000000000004e-08,9,3
-0.0003356,5.4e-06,-7.450320000000001e-07,1.1988000000000001e-08,10,3
-0.0003518,-1.2e-06,-7.80996e-07,-2.6640000000000003e-09,11,3
-0.0003006,-3.4e-06,-6.673320000000001e-07,-7.548e-09,12,3
-0.0002016,5e-06,-4.4755200000000006e-07,1.1100000000000002e-08,13,3
-0.0001764,-1.96e-05,-3.9160800000000005e-07,-4.3512e-08,14,3
-0.0003418,1.54e-05,-7.58796e-07,3.418800000000001e-08,0,4
-0.0003804,1.52e-05,-8.44488e-07,3.3744e-08,1,4
-0.0003782,1.52e-05,-8.39604e-07,3.3744e-08,2,4
-0.0003716,1.64e-05,-8.24952e-07,3.6408000000000004e-08,3,4
-0.0004172,9e-06,-9.261840000000001e-07,1.998e-08,4,4
-0.0004598,1.36e-05,-1.020756e-06,3.0192e-08,5,4
-0.0005948,2.5e-05,-1.3204560000000002e-06,5.550000000000001e-08,6,4
-0.0006574,2.86e-05,-1.4594280000000003e-06,6.349200000000001e-08,7,4
-0.0005788,1.54e-05,-1.284936e-06,3.418800000000001e-08,8,4
-0.000442,1.5e-05,-9.812400000000003e-07,3.33e-08,9,4
-0.0003732,3e-06,-8.285040000000001e-07,6.6600000000000006e-09,10,4
-0.000387,4e-07,-8.5914e-07,8.88e-10,11,4
-0.0003396,1.18e-05,-7.539120000000001e-07,2.6196000000000005e-08,12,4
-0.0002358,1.92e-05,-5.23476e-07,4.2624000000000005e-08,13,4
-0.0002142,-9.8e-06,-4.7552400000000007e-07,-2.1756e-08,14,4
-0.0003692,7.2e-06,-8.19624e-07,1.5984000000000003e-08,0,5
-0.0003866,1.94e-05,-8.582520000000001e-07,4.3068000000000006e-08,1,5
-0.0003578,1.68e-05,-7.943160000000001e-07,3.7296e-08,2,5
-0.0003636,8.76e-05,-8.071920000000001e-07,1.9447200000000002e-07,3,5
-0.0003642,1.84e-05,-8.085240000000001e-07,4.0848e-08,4,5
-0.0004074,2.64e-05,-9.044280000000001e-07,5.8608000000000004e-08,5,5
-0.0005752,3.14e-05,-1.2769440000000002e-06,6.9708e-08,6,5
-0.0006484,3.68e-05,-1.4394480000000002e-06,8.1696e-08,7,5
-0.0005496,1.76e-05,-1.220112e-06,3.907200000000001e-08,8,5
-0.0003954,5.8e-06,-8.777880000000001e-07,1.2876000000000002e-08,9,5
-0.0003626,1.36e-05,-8.049720000000001e-07,3.0192e-08,10,5
-0.0003554,1.28e-05,-7.889880000000001e-07,2.8416e-08,11,5
-0.0003342,1.88e-05,-7.419240000000001e-07,4.1736000000000004e-08,12,5
-0.0002168,-3.8e-06,-4.81296e-07,-8.436e-09,13,5
-0.0001846,-6.4e-06,-4.09812e-07,-1.4208e-08,14,5
-0.0003518,1.66e-05,-7.80996e-07,3.6852000000000005e-08,0,6
-0.0003458,6.58e-05,-7.676760000000002e-07,1.46076e-07,1,6
-0.0003112,6.4e-06,-6.90864e-07,1.4208e-08,2,6
-0.0002968,7.4e-06,-6.58896e-07,1.6428000000000003e-08,3,6
-0.0003424,2.32e-05,-7.60128e-07,5.150400000000001e-08,4,6
-0.0003674,8e-07,-8.15628e-07,1.776e-09,5,6
-0.0004912,3.12e-05,-1.0904640000000003e-06,6.9264e-08,6,6
-0.0006192,3.02e-05,-1.3746240000000002e-06,6.7044e-08,7,6
-0.0005616,1.88e-05,-1.246752e-06,4.1736000000000004e-08,8,6
-0.0004448,8e-06,-9.874560000000001e-07,1.7759999999999998e-08,9,6
-0.0003232,-7.4e-06,-7.175040000000001e-07,-1.6428000000000003e-08,10,6
-0.0003622,2e-06,-8.040840000000001e-07,4.4399999999999996e-09,11,6
-0.0002982,8e-07,-6.62004e-07,1.776e-09,12,6
-0.0001524,2.3e-05,-3.38328e-07,5.106e-08,13,6
-0.0002146,2e-06,-4.7641200000000007e-07,4.4399999999999996e-09,14,6
-0.0003486,2e-07,-7.738920000000001e-07,4.44e-10,0,7
-0.000337,6e-06,-7.481400000000001e-07,1.3320000000000001e-08,1,7
-0.0003152,4.8e-06,-6.997440000000001e-07,1.0656000000000001e-08,2,7
-0.0003042,1.12e-05,-6.753240000000002e-07,2.4864e-08,3,7
-0.0003638,-3e-06,-8.076360000000002e-07,-6.6600000000000006e-09,4,7
-0.0003748,9.4e-06,-8.320560000000001e-07,2.0868000000000002e-08,5,7
-0.000532,2.94e-05,-1.1810400000000003e-06,6.5268e-08,6,7
-0.000666,-4.12e-05,-1.4785200000000002e-06,-9.1464e-08,7,7
-0.0005778,-6.4e-06,-1.282716e-06,-1.4208e-08,8,7
-0.0004586,8.2e-06,-1.018092e-06,1.8204000000000002e-08,9,7
-0.0003414,5.6e-06,-7.579080000000001e-07,1.2432e-08,10,7
-0.000381,1.94e-05,-8.4582e-07,4.3068000000000006e-08,11,7
-0.0002994,-6e-06,-6.646680000000001e-07,-1.3320000000000001e-08,12,7
-0.000215,-8e-07,-4.773000000000001e-07,-1.776e-09,13,7
-0.0001844,-5.2e-06,-4.0936800000000007e-07,-1.1544000000000002e-08,14,7
-0.0003454,3.48e-05,-7.66788e-07,7.725600000000001e-08,0,8
-0.0003692,6.2e-06,-8.19624e-07,1.3764e-08,1,8
-0.0003516,8.4e-06,-7.80552e-07,1.8648e-08,2,8
-0.0003048,1.04e-05,-6.76656e-07,2.3088000000000005e-08,3,8
-0.0003162,1.36e-05,-7.01964e-07,3.0192e-08,4,8
-0.0003496,-2.06e-05,-7.76112e-07,-4.5732e-08,5,8
-0.0004938,1.34e-05,-1.096236e-06,2.9748000000000003e-08,6,8
-0.000641,2.32e-05,-1.42302e-06,5.150400000000001e-08,7,8
-0.0005672,5e-05,-1.2591840000000001e-06,1.1100000000000001e-07,8,8
-0.0004394,1.2e-05,-9.75468e-07,2.6640000000000002e-08,9,8
-0.0003484,7.6e-06,-7.734480000000001e-07,1.6872e-08,10,8
-0.0004466,-3.06e-05,-9.914520000000001e-07,-6.7932e-08,11,8
-0.000355,2.5e-05,-7.881000000000001e-07,5.550000000000001e-08,12,8
-0.0002604,1.12e-05,-5.78088e-07,2.4864e-08,13,8
-0.0001738,-4e-06,-3.85836e-07,-8.879999999999999e-09,14,8
-0.0003798,1.5e-05,-8.431560000000001e-07,3.33e-08,0,9
-0.0004412,2.22e-05,-9.79464e-07,4.9284000000000006e-08,1,9
-0.0003932,1.9e-05,-8.72904e-07,4.2180000000000004e-08,2,9
-0.0002768,-1.6e-05,-6.144960000000001e-07,-3.5519999999999996e-08,3,9
-0.0003058,5.8e-06,-6.78876e-07,1.2876000000000002e-08,4,9
-0.000345,2.18e-05,-7.659e-07,4.839600000000001e-08,5,9
-0.0004934,-1.72e-05,-1.0953480000000002e-06,-3.8184000000000006e-08,6,9
-0.0005786,1.44e-05,-1.2844920000000001e-06,3.1968000000000005e-08,7,9
-0.000573,-6.44e-05,-1.2720600000000002e-06,-1.42968e-07,8,9
-0.0004236,1.08e-05,-9.40392e-07,2.3976000000000002e-08,9,9
-0.0003368,-2.2e-06,-7.476960000000001e-07,-4.884000000000001e-09,10,9
-0.0004252,6.28e-05,-9.43944e-07,1.39416e-07,11,9
-0.0003872,-3.6e-06,-8.595840000000001e-07,-7.992000000000001e-09,12,9
-0.0002354,2.8e-06,-5.225880000000001e-07,6.216e-09,13,9
-0.0001662,1.2e-06,-3.6896400000000005e-07,2.6640000000000003e-09,14,9
-0.0003572,1.68e-05,-7.929840000000001e-07,3.7296e-08,0,10
-0.0004094,9.8e-06,-9.088680000000001e-07,2.1756e-08,1,10
-0.0003752,-2.66e-05,-8.32944e-07,-5.9052000000000005e-08,2,10
-0.0002948,5.6e-06,-6.544560000000001e-07,1.2432e-08,3,10
-0.0002736,-5.12e-05,-6.07392e-07,-1.13664e-07,4,10
-0.0003112,7.4e-06,-6.90864e-07,1.6428000000000003e-08,5,10
-0.000416,2.4e-05,-9.235200000000001e-07,5.3280000000000005e-08,6,10
-0.0005288,2.82e-05,-1.173936e-06,6.260400000000001e-08,7,10
-0.0004906,1.14e-05,-1.0891320000000001e-06,2.5307999999999997e-08,8,10
-0.0003876,1.28e-05,-8.60472e-07,2.8416e-08,9,10
-0.0002916,-5.4e-06,-6.47352e-07,-1.1988000000000001e-08,10,10
-0.0003404,-2.4e-06,-7.55688e-07,-5.328000000000001e-09,11,10
