gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009810713788665711
time constant:,0.2
reference phase:,169.111
notes:,position 3
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
2.9e-05,4e-07,6.438e-08,8.88e-10,0,0
6.7e-05,-2e-07,1.4874000000000002e-07,-4.44e-10,1,0
4.34e-05,5.4e-06,9.634800000000001e-08,1.1988000000000001e-08,2,0
4.78e-05,5.8e-06,1.0611600000000001e-07,1.2876000000000002e-08,3,0
4.02e-05,9.4e-06,8.924400000000001e-08,2.0868000000000002e-08,4,0
3.44e-05,4.26e-05,7.636800000000001e-08,9.457200000000001e-08,5,0
5.8e-06,9.2e-06,1.2876000000000002e-08,2.0424e-08,6,0
-3.14e-05,1.08e-05,-6.9708e-08,2.3976000000000002e-08,7,0
-2e-05,1.64e-05,-4.440000000000001e-08,3.6408000000000004e-08,8,0
3.48e-05,2.62e-05,7.725600000000001e-08,5.816400000000001e-08,9,0
3.84e-05,8e-06,8.524800000000001e-08,1.7759999999999998e-08,10,0
-4.12e-05,-3.34e-05,-9.1464e-08,-7.414800000000001e-08,11,0
3.96e-05,1.4e-06,8.791200000000001e-08,3.108e-09,12,0
9.94e-05,-3.6e-06,2.2066800000000003e-07,-7.992000000000001e-09,13,0
3.86e-05,2.8e-06,8.569200000000002e-08,6.216e-09,14,0
3.88e-05,2.6e-06,8.613600000000001e-08,5.772000000000001e-09,0,1
3.38e-05,3.8e-06,7.503600000000001e-08,8.436e-09,1,1
4.3e-05,5.4e-06,9.546000000000001e-08,1.1988000000000001e-08,2,1
0.000167,-1.62e-05,3.7074000000000005e-07,-3.5964000000000004e-08,3,1
8.74e-05,2.44e-05,1.94028e-07,5.4168000000000006e-08,4,1
3.32e-05,8.8e-06,7.370400000000001e-08,1.9536000000000004e-08,5,1
7.2e-06,-6e-07,1.5984000000000003e-08,-1.3320000000000002e-09,6,1
-3.44e-05,1.42e-05,-7.636800000000001e-08,3.1524000000000005e-08,7,1
-4e-05,-1.6e-06,-8.880000000000001e-08,-3.552e-09,8,1
2.18e-05,1.1e-05,4.839600000000001e-08,2.442e-08,9,1
3.54e-05,3.44e-05,7.8588e-08,7.636800000000001e-08,10,1
3.56e-05,2.8e-06,7.9032e-08,6.216e-09,11,1
3.64e-05,1.48e-05,8.0808e-08,3.2856000000000006e-08,12,1
4.02e-05,1.74e-05,8.924400000000001e-08,3.862800000000001e-08,13,1
3.24e-05,7.8e-06,7.192800000000001e-08,1.7316e-08,14,1
8.7e-05,2.5e-05,1.9314000000000002e-07,5.550000000000001e-08,0,2
4.32e-05,5.4e-06,9.590400000000001e-08,1.1988000000000001e-08,1,2
2.66e-05,2.18e-05,5.9052000000000005e-08,4.839600000000001e-08,2,2
-1.92e-05,6.98e-05,-4.2624000000000005e-08,1.54956e-07,3,2
2.96e-05,7.8e-06,6.571200000000001e-08,1.7316e-08,4,2
2.7e-05,9e-06,5.994e-08,1.998e-08,5,2
-6.8e-06,4.6e-06,-1.5096e-08,1.0212e-08,6,2
-4.22e-05,2.4e-06,-9.368400000000002e-08,5.328000000000001e-09,7,2
-3.96e-05,-2.8e-05,-8.791200000000001e-08,-6.216e-08,8,2
1.86e-05,1.08e-05,4.1292000000000003e-08,2.3976000000000002e-08,9,2
2.42e-05,1.4e-06,5.3724000000000005e-08,3.108e-09,10,2
2.46e-05,2.46e-05,5.461200000000001e-08,5.461200000000001e-08,11,2
3.84e-05,6.6e-06,8.524800000000001e-08,1.4652000000000001e-08,12,2
3.66e-05,1.84e-05,8.125200000000002e-08,4.0848e-08,13,2
-5.6e-06,-1.8e-05,-1.2432e-08,-3.996e-08,14,2
1.8e-05,5.28e-05,3.996e-08,1.1721600000000001e-07,0,3
2.44e-05,6.6e-06,5.4168000000000006e-08,1.4652000000000001e-08,1,3
3.46e-05,-2e-07,7.681200000000001e-08,-4.44e-10,2,3
2.22e-05,1.02e-05,4.9284000000000006e-08,2.2644e-08,3,3
2.76e-05,3.6e-06,6.127200000000001e-08,7.992000000000001e-09,4,3
3.08e-05,1.06e-05,6.837600000000002e-08,2.3532000000000002e-08,5,3
1.86e-05,-2.32e-05,4.1292000000000003e-08,-5.150400000000001e-08,6,3
-6.26e-05,7.4e-06,-1.38972e-07,1.6428000000000003e-08,7,3
-1.98e-05,0.0,-4.3956000000000007e-08,0.0,8,3
1.96e-05,1.26e-05,4.3512e-08,2.7972000000000004e-08,9,3
3.04e-05,1.18e-05,6.7488e-08,2.6196000000000005e-08,10,3
3.66e-05,6e-07,8.125200000000002e-08,1.3320000000000002e-09,11,3
3.16e-05,3.8e-06,7.015200000000002e-08,8.436e-09,12,3
2.68e-05,2.06e-05,5.9496000000000005e-08,4.5732e-08,13,3
2.68e-05,1.8e-05,5.9496000000000005e-08,3.996e-08,14,3
2.22e-05,8.8e-06,4.9284000000000006e-08,1.9536000000000004e-08,0,4
5.14e-05,7e-06,1.1410800000000002e-07,1.554e-08,1,4
5.22e-05,9.8e-06,1.1588400000000002e-07,2.1756e-08,2,4
2.3e-05,3.4e-06,5.106e-08,7.548e-09,3,4
2.76e-05,3.6e-06,6.127200000000001e-08,7.992000000000001e-09,4,4
2.24e-05,6.2e-06,4.9728e-08,1.3764e-08,5,4
1.4e-06,6e-07,3.108e-09,1.3320000000000002e-09,6,4
-5.16e-05,-7e-06,-1.14552e-07,-1.554e-08,7,4
-4.82e-05,1.04e-05,-1.0700400000000001e-07,2.3088000000000005e-08,8,4
9.6e-06,4.2e-06,2.1312000000000003e-08,9.324e-09,9,4
3.3e-05,8.8e-06,7.326000000000001e-08,1.9536000000000004e-08,10,4
2.96e-05,7.6e-06,6.571200000000001e-08,1.6872e-08,11,4
3.58e-05,1.08e-05,7.9476e-08,2.3976000000000002e-08,12,4
3.68e-05,1.36e-05,8.1696e-08,3.0192e-08,13,4
1.4e-05,-3.48e-05,3.108e-08,-7.725600000000001e-08,14,4
2.68e-05,1e-05,5.9496000000000005e-08,2.2200000000000004e-08,0,5
2.88e-05,1.32e-05,6.393600000000001e-08,2.9304000000000002e-08,1,5
3.42e-05,3.8e-06,7.5924e-08,8.436e-09,2,5
-3.6e-05,4.4e-06,-7.992e-08,9.768000000000002e-09,3,5
8.84e-05,-3.1e-05,1.96248e-07,-6.882e-08,4,5
-5.6e-06,1.04e-05,-1.2432e-08,2.3088000000000005e-08,5,5
-1.96e-05,6e-06,-4.3512e-08,1.3320000000000001e-08,6,5
-5.2e-05,5.6e-06,-1.1544000000000001e-07,1.2432e-08,7,5
-4.18e-05,1.16e-05,-9.2796e-08,2.5752000000000005e-08,8,5
1.18e-05,1.3e-05,2.6196000000000005e-08,2.8860000000000002e-08,9,5
-3.04e-05,-4.02e-05,-6.7488e-08,-8.924400000000001e-08,10,5
0.0001266,2.84e-05,2.81052e-07,6.304800000000001e-08,11,5
2.46e-05,6.2e-06,5.461200000000001e-08,1.3764e-08,12,5
3.96e-05,1e-05,8.791200000000001e-08,2.2200000000000004e-08,13,5
3.1e-05,1.24e-05,6.882e-08,2.7528e-08,14,5
3.1e-05,1.6e-05,6.882e-08,3.5519999999999996e-08,0,6
7.8e-06,2.8e-05,1.7316e-08,6.216e-08,1,6
3.08e-05,6.6e-06,6.837600000000002e-08,1.4652000000000001e-08,2,6
5.08e-05,2.66e-05,1.1277600000000002e-07,5.9052000000000005e-08,3,6
3.1e-05,2.48e-05,6.882e-08,5.5056e-08,4,6
2.3e-05,1.2e-05,5.106e-08,2.6640000000000002e-08,5,6
-4.2e-06,3.8e-06,-9.324e-09,8.436e-09,6,6
-5.74e-05,7.6e-06,-1.2742800000000002e-07,1.6872e-08,7,6
-5.34e-05,4.4e-06,-1.1854800000000001e-07,9.768000000000002e-09,8,6
1.3e-05,9.8e-06,2.8860000000000002e-08,2.1756e-08,9,6
1.68e-05,4.6e-06,3.7296e-08,1.0212e-08,10,6
2.36e-05,3.4e-06,5.239200000000001e-08,7.548e-09,11,6
1.32e-05,-5.4e-06,2.9304000000000002e-08,-1.1988000000000001e-08,12,6
2.78e-05,7.6e-06,6.171600000000001e-08,1.6872e-08,13,6
3.14e-05,1.1e-05,6.9708e-08,2.442e-08,14,6
2.8e-05,1.14e-05,6.216e-08,2.5307999999999997e-08,0,7
-6e-07,3.26e-05,-1.3320000000000002e-09,7.237200000000001e-08,1,7
1.88e-05,4.22e-05,4.1736000000000004e-08,9.368400000000002e-08,2,7
2.3e-05,1e-06,5.106e-08,2.2199999999999998e-09,3,7
2.2e-05,1.36e-05,4.884e-08,3.0192e-08,4,7
2.18e-05,1.5e-05,4.839600000000001e-08,3.33e-08,5,7
1.1e-05,9.4e-06,2.442e-08,2.0868000000000002e-08,6,7
-2.16e-05,9.4e-06,-4.7952000000000005e-08,2.0868000000000002e-08,7,7
-5.2e-06,1e-05,-1.1544000000000002e-08,2.2200000000000004e-08,8,7
-4.2e-06,1.14e-05,-9.324e-09,2.5307999999999997e-08,9,7
2.3e-05,1.76e-05,5.106e-08,3.907200000000001e-08,10,7
1.4e-05,1.22e-05,3.108e-08,2.7084000000000003e-08,11,7
5.6e-05,5.58e-05,1.2432e-07,1.2387600000000002e-07,12,7
3.98e-05,4.4e-06,8.8356e-08,9.768000000000002e-09,13,7
2.36e-05,9.2e-06,5.239200000000001e-08,2.0424e-08,14,7
2.12e-05,3.46e-05,4.7064000000000004e-08,7.681200000000001e-08,0,8
2.3e-05,-2e-06,5.106e-08,-4.4399999999999996e-09,1,8
2.24e-05,1.6e-06,4.9728e-08,3.552e-09,2,8
3.62e-05,-1.58e-05,8.0364e-08,-3.507600000000001e-08,3,8
2.24e-05,1.86e-05,4.9728e-08,4.1292000000000003e-08,4,8
4.04e-05,-2.74e-05,8.968800000000002e-08,-6.082800000000001e-08,5,8
9.6e-06,2.2e-05,2.1312000000000003e-08,4.884e-08,6,8
8.4e-06,4.2e-06,1.8648e-08,9.324e-09,7,8
1.74e-05,-4.66e-05,3.862800000000001e-08,-1.03452e-07,8,8
1.68e-05,1.38e-05,3.7296e-08,3.0636000000000004e-08,9,8
-4.44e-05,-2.52e-05,-9.856800000000001e-08,-5.594400000000001e-08,10,8
4.24e-05,1.02e-05,9.412800000000001e-08,2.2644e-08,11,8
9.56e-05,-6e-05,2.1223200000000002e-07,-1.332e-07,12,8
3.66e-05,4e-06,8.125200000000002e-08,8.879999999999999e-09,13,8
2.58e-05,6.8e-06,5.7276e-08,1.5096e-08,14,8
2.56e-05,1.3e-05,5.6832e-08,2.8860000000000002e-08,0,9
1.9e-05,8.4e-06,4.2180000000000004e-08,1.8648e-08,1,9
1.9e-05,1.98e-05,4.2180000000000004e-08,4.3956000000000007e-08,2,9
2.26e-05,6.2e-06,5.017200000000001e-08,1.3764e-08,3,9
2.18e-05,8.6e-06,4.839600000000001e-08,1.9092000000000003e-08,4,9
-2e-05,0.0001132,-4.440000000000001e-08,2.5130400000000004e-07,5,9
1.8e-05,-5.8e-06,3.996e-08,-1.2876000000000002e-08,6,9
1.46e-05,-5e-06,3.2412000000000006e-08,-1.1100000000000002e-08,7,9
1.08e-05,7.2e-06,2.3976000000000002e-08,1.5984000000000003e-08,8,9
2.02e-05,1.24e-05,4.484400000000001e-08,2.7528e-08,9,9
-1.62e-05,-3.3e-05,-3.5964000000000004e-08,-7.326000000000001e-08,10,9
2e-05,9.2e-06,4.440000000000001e-08,2.0424e-08,11,9
5.52e-05,5.6e-06,1.2254400000000002e-07,1.2432e-08,12,9
1.48e-05,6.8e-06,3.2856000000000006e-08,1.5096e-08,13,9
9.42e-05,8.36e-05,2.0912400000000001e-07,1.85592e-07,14,9
3.06e-05,1.36e-05,6.7932e-08,3.0192e-08,0,10
1.72e-05,1.28e-05,3.8184000000000006e-08,2.8416e-08,1,10
2.36e-05,4.4e-06,5.239200000000001e-08,9.768000000000002e-09,2,10
3.12e-05,-9.8e-06,6.9264e-08,-2.1756e-08,3,10
7.8e-06,9.2e-06,1.7316e-08,2.0424e-08,4,10
2.28e-05,8.4e-06,5.0615999999999995e-08,1.8648e-08,5,10
2.4e-06,-1.62e-05,5.328000000000001e-09,-3.5964000000000004e-08,6,10
-2e-06,-4.52e-05,-4.4399999999999996e-09,-1.0034400000000001e-07,7,10
5e-06,1.24e-05,1.1100000000000002e-08,2.7528e-08,8,10
6.8e-06,-1.2e-06,1.5096e-08,-2.6640000000000003e-09,9,10
-4.98e-05,1.14e-05,-1.10556e-07,2.5307999999999997e-08,10,10
2.34e-05,6.6e-06,5.1948e-08,1.4652000000000001e-08,11,10
1.2e-05,1.58e-05,2.6640000000000002e-08,3.507600000000001e-08,12,10
2.04e-05,1.82e-05,4.5288e-08,4.0404e-08,13,10
1.76e-05,1.48e-05,3.907200000000001e-08,3.2856000000000006e-08,14,10
4e-06,3.5e-05,8.879999999999999e-09,7.77e-08,0,11
1.9e-05,-3.4e-06,4.2180000000000004e-08,-7.548e-09,1,11
-9e-06,4.16e-05,-1.998e-08,9.235200000000002e-08,2,11
2.1e-05,1.78e-05,4.662e-08,3.9516e-08,3,11
1.22e-05,7.6e-06,2.7084000000000003e-08,1.6872e-08,4,11
-2.6e-05,4.2e-06,-5.7720000000000003e-08,9.324e-09,5,11
-1.2e-06,1.38e-05,-2.6640000000000003e-09,3.0636000000000004e-08,6,11
-1.6e-06,1.02e-05,-3.552e-09,2.2644e-08,7,11
-8.6e-06,-1.3e-05,-1.9092000000000003e-08,-2.8860000000000002e-08,8,11
2.24e-05,7e-06,4.9728e-08,1.554e-08,9,11
1.12e-05,1.5e-05,2.4864e-08,3.33e-08,10,11
1.44e-05,8.4e-06,3.1968000000000005e-08,1.8648e-08,11,11
1.8e-05,1.16e-05,3.996e-08,2.5752000000000005e-08,12,11
3.92e-05,1.66e-05,8.7024e-08,3.6852000000000005e-08,13,11
2e-05,8.8e-06,4.440000000000001e-08,1.9536000000000004e-08,14,11
4.88e-05,2.16e-05,1.0833600000000001e-07,4.7952000000000005e-08,0,12
1.88e-05,-5e-06,4.1736000000000004e-08,-1.1100000000000002e-08,1,12
1.6e-05,1.58e-05,3.5519999999999996e-08,3.507600000000001e-08,2,12
1.38e-05,1.02e-05,3.0636000000000004e-08,2.2644e-08,3,12
6.8e-06,6e-07,1.5096e-08,1.3320000000000002e-09,4,12
-2.1e-05,1.8e-06,-4.662e-08,3.996000000000001e-09,5,12
4.5e-05,3.54e-05,9.990000000000001e-08,7.8588e-08,6,12
-7.8e-06,1.94e-05,-1.7316e-08,4.3068000000000006e-08,7,12
-1.1e-05,1.24e-05,-2.442e-08,2.7528e-08,8,12
-1.2e-06,0.0,-2.6640000000000003e-09,0.0,9,12
0.0,1.3e-05,0.0,2.8860000000000002e-08,10,12
1.3e-05,1.18e-05,2.8860000000000002e-08,2.6196000000000005e-08,11,12
1.54e-05,1.8e-06,3.418800000000001e-08,3.996000000000001e-09,12,12
-1.82e-05,2.18e-05,-4.0404e-08,4.839600000000001e-08,13,12
2.54e-05,1.6e-06,5.638800000000001e-08,3.552e-09,14,12
1.34e-05,1.52e-05,2.9748000000000003e-08,3.3744e-08,0,13
