um,uV/mW
-1,0.02731358
-0.5,0.0155664
0,0.011638353
0.5,0.01291964
1,0.015371332
1.5,0.017188541
2,0.015055117
2.5,0.013498683
3,0.0117595
3.5,0.009127113
4,0.006373579
4.5,0.004147755
5,0.002749427
5.5,0.001266913
6,0.001618035
6.5,0.001014352
7,0.001297713
7.5,0.001973263
8,0.00381922
8.5,0.005100506
9,0.006022458
9.5,0.006593287
10,0.005079973
10.5,0.002349025
11,0.001032832
11.5,0.000850084
12,-8.21E-06
12.5,-0.000556456
13,-0.000271041
13.5,-3.49E-05
14,-0.000462002
14.5,-0.001229953
15,-0.000470216
15.5,-0.000447629
16,0.000492803
16.5,0.001412701
17,0.00787252
17.5,0.014092099
18,0.015278932
18.5,0.013432976
19,0.013049
19.5,0.006006031
20,-0.015901095
