gain:,10000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,89.999
power (W):,0.018171438739999997
time constant:,0.2
reference phase:,164.279
notes:,position 3
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-0.000304,0.000168,-6.748800000000002e-08,3.7296000000000005e-08,0,0
-0.000115,-9.1e-05,-2.553e-08,-2.0202e-08,1,0
-0.000109,0.000143,-2.4198000000000003e-08,3.1746000000000005e-08,2,0
-4.8e-05,-0.000132,-1.0656000000000001e-08,-2.9304000000000006e-08,3,0
0.00014,-0.000127,3.1080000000000004e-08,-2.8194e-08,4,0
0.000524,9.3e-05,1.1632800000000002e-07,2.0646000000000002e-08,5,0
0.000618,-0.000111,1.37196e-07,-2.4642000000000003e-08,6,0
0.000145,-0.000111,3.219e-08,-2.4642000000000003e-08,7,0
3.6e-05,8.3e-05,7.992000000000001e-09,1.8426e-08,8,0
-8.9e-05,1.6e-05,-1.9758e-08,3.5519999999999997e-09,9,0
7.1e-05,-7.7e-05,1.5762000000000002e-08,-1.7094e-08,10,0
-5e-06,5e-06,-1.1100000000000003e-09,1.1100000000000003e-09,11,0
-9.8e-05,-4.4e-05,-2.1756000000000003e-08,-9.768e-09,12,0
-1.7e-05,-4.3e-05,-3.774e-09,-9.546000000000002e-09,13,0
-0.000114,0.000159,-2.5308000000000004e-08,3.5298e-08,14,0
-0.000353,1.9e-05,-7.836600000000001e-08,4.218000000000001e-09,0,1
-0.000269,-6.6e-05,-5.9718e-08,-1.4652000000000003e-08,1,1
-0.000141,-8.1e-05,-3.1302000000000005e-08,-1.7982000000000002e-08,2,1
-6.1e-05,-1.2e-05,-1.3542e-08,-2.6640000000000003e-09,3,1
-3.2e-05,-0.000144,-7.1039999999999995e-09,-3.1968000000000005e-08,4,1
0.000433,1.2e-05,9.612600000000001e-08,2.6640000000000003e-09,5,1
0.000471,-0.000101,1.0456200000000002e-07,-2.2422e-08,6,1
0.000328,-0.000129,7.281600000000001e-08,-2.8638000000000005e-08,7,1
-9e-05,1.3e-05,-1.9980000000000004e-08,2.886e-09,8,1
-0.00018,-6.1e-05,-3.996000000000001e-08,-1.3542e-08,9,1
-0.000147,8.4e-05,-3.2634e-08,1.8648000000000003e-08,10,1
-0.000205,-6.3e-05,-4.551e-08,-1.3986e-08,11,1
