gain:,10000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,449.9986
power (W):,0.0180299344316
time constant:,0.2
reference phase:,160.786
notes:,position 3
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-0.000849,-4.8e-05,-1.8847800000000003e-07,-1.0656000000000001e-08,0,0
-0.000822,-1.8e-05,-1.8248400000000003e-07,-3.996000000000001e-09,1,0
-0.000782,0.000106,-1.7360400000000002e-07,2.3532000000000002e-08,2,0
-0.000829,3e-05,-1.8403800000000002e-07,6.6600000000000006e-09,3,0
-0.006321,-0.000303,-1.4032620000000002e-06,-6.7266e-08,4,0
-0.016921,-0.000985,-3.756462e-06,-2.1867e-07,5,0
-0.016484,-0.00106,-3.6594479999999997e-06,-2.3532000000000002e-07,6,0
-0.006305,-0.000439,-1.39971e-06,-9.745800000000001e-08,7,0
-0.001416,-3.4e-05,-3.14352e-07,-7.548e-09,8,0
-0.000514,7.8e-05,-1.1410800000000003e-07,1.7316e-08,9,0
-0.00043,-4.3e-05,-9.546000000000001e-08,-9.546000000000002e-09,10,0
-0.000369,-2.6e-05,-8.1918e-08,-5.772e-09,11,0
-0.000549,-5.9e-05,-1.21878e-07,-1.3098e-08,12,0
-0.000386,2.5e-05,-8.569200000000001e-08,5.550000000000001e-09,13,0
-0.000195,2e-06,-4.329e-08,4.4399999999999997e-10,14,0
-0.000699,-1.1e-05,-1.55178e-07,-2.442e-09,0,1
-0.00087,-2.9e-05,-1.9314000000000002e-07,-6.438e-09,1,1
-0.000827,-2.8e-05,-1.8359400000000002e-07,-6.216e-09,2,1
-0.000779,-3.1e-05,-1.72938e-07,-6.882000000000001e-09,3,1
-0.003991,-0.000198,-8.86002e-07,-4.3956e-08,4,1
-0.012742,-0.000739,-2.8287240000000004e-06,-1.64058e-07,5,1
-0.013292,-0.000913,-2.950824e-06,-2.0268600000000002e-07,6,1
-0.0052,-0.000383,-1.1544000000000001e-06,-8.502600000000001e-08,7,1
-0.002387,-0.000126,-5.29914e-07,-2.7972e-08,8,1
-0.001519,-4.4e-05,-3.3721800000000005e-07,-9.768e-09,9,1
-0.000605,1.8e-05,-1.3431000000000002e-07,3.996000000000001e-09,10,1
-0.000409,-6.7e-05,-9.079800000000002e-08,-1.4874000000000001e-08,11,1
-0.00041,6.7e-05,-9.102e-08,1.4874000000000001e-08,12,1
-0.000486,-0.000102,-1.0789200000000001e-07,-2.2644e-08,13,1
-0.000334,6.8e-05,-7.414800000000001e-08,1.5096e-08,14,1
-0.000674,-8.1e-05,-1.4962800000000002e-07,-1.7982000000000002e-08,0,2
-0.000801,2.6e-05,-1.7782200000000002e-07,5.772e-09,1,2
