um,uV/mW
0.552727,0.30917987
1.105454,0.339992232
1.658181,0.257921499
2.210908,0.127995034
2.763635,0.074141303
3.316362,0.081074839
3.869089,0.054562929
4.421816,0.04759167
4.974543,0.039134114
5.52727,0.035112814
6.079997,0.032411828
6.632724,0.028186823
7.185451,0.025236863
7.738178,0.02270186
8.290905,0.018537212
8.843632,0.026957044
9.396359,0.024644608
9.949086,0.024482398
10.501813,0.02325262
11.05454,0.024520121
11.607267,0.024399407
12.159994,0.01282591
12.712721,0.008291573
13.265448,0.009913674
13.818175,0.008227444
14.370902,0.008061461
14.923629,0.011671578
15.476356,0.012690106
16.029083,0.010305996
16.58181,0.011384881
17.134537,0.012282695
17.687264,0.016337946
18.239991,0.012859861
18.792718,0.011894145
19.345445,0.013157874
19.898172,0.011943185
20.450899,0.014802609
21.003626,0.008333069
21.556353,0.008434922
22.10908,0.008389654
22.661807,0.009996665
23.214534,0.004760676
23.767261,0.008404743
24.319988,0.002459557
24.872715,0.005134136
25.425442,0.00586974
25.978169,0.011460328
26.530896,0.004862529
27.083623,0.006224339
27.63635,0.007450345
28.189077,0.00852923
28.741804,0.011403743
29.294531,0.006054584
29.847258,0.005605677
30.399985,-0.001014756
30.952712,0.009981576
31.505439,0.00471918
32.058166,0.007333402
32.610893,0.004198599
33.16362,0.006737375
33.716347,0.002527459
34.269074,-0.000165982
34.821801,0.003402638
35.374528,-0.001286363
35.927255,0.00471918
36.479982,0.004775765
37.032709,0.004066568
37.585436,-0.000116942
38.138163,0.000203706
38.69089,-0.001720181
39.243617,-6.41E-05
39.796344,0.001723953
40.349071,-0.000479085
40.901798,0.002297347
41.454525,-0.000260291
42.007252,0.004274046
42.559979,0.008985681
43.112706,0.005417061
43.665433,0.004587149
44.21816,0.008680123
44.770887,0.003346053
45.323614,0.000558304
45.876341,0.001750359
46.429068,-0.000392322
46.981795,-0.000264063
47.534522,-0.016990558
48.087249,-0.002244534
48.639976,-0.002184177
49.192703,-0.002697213
49.74543,-0.002904691
50.298157,-0.00210873
50.850884,-0.003206477
51.403611,-0.000215023
51.956338,-0.001656051
52.509065,-0.001535337
53.061792,-0.007046706
53.614519,-0.001026073
54.167246,0.00439476
54.719973,-0.003081991
55.2727,-0.00098835
55.825427,-0.001927659
56.378154,-0.002640628
56.930881,-0.003636523
57.483608,-0.001308997
58.036335,-0.000701653
58.589062,-0.000841229
59.141789,-0.002602905
59.694516,-0.002357704
60.247243,-0.000716742
60.79997,0.00723155
61.352697,-0.003202705
61.905424,0.007525791
62.458151,-0.003689335
63.010878,-0.004406077
63.563605,-0.008046372
64.116332,-0.010407848
64.669059,-0.007861528
65.221786,-0.010385215
65.774513,-0.016153102
66.32724,-0.013467205
66.879967,-0.007725724
67.432694,-0.012592025
67.985421,-0.011411287
68.538148,-0.009626977
69.090875,-0.011581042
69.643602,-0.013934974
70.196329,-0.01678308
70.749056,-0.01422167
71.301783,-0.000316875
71.85451,-0.014979908
72.407237,-0.015915445
72.959964,-0.017537545
73.512691,-0.015519351
74.065418,-0.019370896
74.618145,-0.022132239
75.170872,-0.017360246
75.723599,-0.018503261
76.276326,-0.016854754
76.829053,-0.023131905
77.38178,-0.024124027
77.934507,-0.02863573
78.487234,-0.027247513
79.039961,-0.030389861
79.592688,-0.029092181
80.145415,-0.030661469
80.698142,-0.031819573
81.250869,-0.031298992
81.803596,-0.033871719
82.356323,-0.038666345
82.90905,-0.047927407
83.461777,-0.035097725
84.014504,-0.038175943
84.567231,-0.045965797
85.119958,-0.053118128
85.672685,-0.061402156
86.225412,-0.081976425
86.778139,-0.144114185
87.330866,-0.262014473
87.883593,-0.301620128
88.43632,-0.258147839
88.989047,-0.226150966
89.541774,-0.217685866
90.094501,-0.199525887
90.647228,-0.179773986
91.199955,-0.163138027
