mW,uV
15.71307557,18.40
16.25321098,18.40
16.56010709,19.08
16.40052125,18.53
16.57238266,18.78
16.54783262,19.42
15.22554941,20.21
15.57628738,18.35
15.71833603,18.38
16.32862018,19.59
16.0462763,18.94
16.83894394,19.59
15.55699555,20.19
14.90813011,18.89
14.26803211,18.46
14.08565083,17.84
14.43463416,17.74
14.02602418,17.96
13.76823149,17.15
13.54200504,17.08
13.81908955,17.07
13.73315712,17.08
13.92957197,17.01
13.09656614,16.69
12.77564318,16.66
12.73530835,16.30
12.63710035,16.16
12.35300304,16.13
12.22673582,16.05
12.03558595,15.73
12.11450098,15.56
11.76551544,15.58
11.81637346,15.48
11.67257016,15.38
11.71992125,15.16
11.49018557,15.05
11.08508482,14.84
11.58488654,14.74
11.68835496,14.66
11.2148557,14.75
11.27974392,14.62
11.102622,14.60
11.12191042,14.63
11.09560579,14.65
11.4025019,14.50
10.9079629,14.33
10.96934078,14.13
11.43757517,14.16
11.07280699,14.44
10.62035525,13.81
10.48882978,13.72
10.69050504,13.39
10.43271235,13.07
10.19245574,12.94
10.18894872,12.75
9.629521536,12.41
9.797875968,12.12
9.492731088,12.16
9.273521952,11.91
9.05957112,11.55
8.582568192,11.18
8.570290368,10.99
8.763197616,10.88
8.7123396,11.04
8.729876208,11.06
8.591336736,11.33
8.7807348,10.78
8.868418464,10.73
8.766704592,11.05
8.750922624,10.93
8.56853856,10.66
8.059967664,10.44
8.014371264,10.26
8.07224328,10.08
8.030154384,10.04
8.147653008,10.15
7.889859216,10.33
8.005602672,9.81
7.772361696,9.90
8.005602672,9.86
7.465465536,9.58
7.870568544,9.17
7.817958096,9.49
6.771003648,9.73
6.467615616,8.85
6.491330832,8.30
6.248915568,8.04
7.068670176,7.99
7.184523696,8.52
6.997577664,8.76
6.895942608,9.02
7.051643184,7.79
7.05374928,8.23
7.045147776,8.49
6.550662384,7.94
6.461314656,7.94
6.175366032,7.78
6.55259304,7.53
6.318076896,7.66
6.16904664,7.32
6.087597456,7.39
5.675614608,7.33
6.125513856,6.80
5.811479136,6.78
5.419331232,6.67
4.864636416,6.59
5.276268912,6.18
5.374745088,6.35
4.902201312,6.70
4.699632523,5.97
4.674882163,5.97
4.545687418,5.89
5.04157728,5.77
4.999097232,6.12
5.468831952,6.46
5.093009232,6.99
5.049475824,6.07
5.263279728,6.27
5.20184208,6.78
5.335425024,6.89
5.077737936,6.43
4.913962272,6.33
4.81882152,6.03
4.846029744,6.06
4.833391488,6.10
5.143914768,5.90
5.047545216,6.06
4.875168576,5.67
4.929409536,5.92
4.636263941,5.58
4.924845312,5.68
4.795826597,5.60
4.389459917,6.21
4.871131872,6.18
3.951497098,6.09
3.895150032,4.72
3.746470714,4.76
4.486180378,5.10
4.429482389,5.78
4.339432253,5.89
4.54428289,5.72
4.528309219,5.58
3.997663224,5.77
4.100702798,5.70
4.159858915,5.54
3.791408054,5.65
4.121591616,5.53
3.912177029,5.49
3.967119845,5.42
3.691176696,5.39
3.51300733,5.33
3.799833821,5.24
3.687666077,5.11
3.710134886,5.06
3.807557467,4.88
3.685208501,4.86
3.725230694,4.35
3.606392909,4.78
3.6536118,4.87
3.336417955,3.90
3.211787155,3.78
3.159301915,3.85
3.50212427,3.79
3.197919854,4.33
3.152104934,4.46
2.610926515,4.39
3.44507508,3.93
3.273400291,4.12
3.206169883,4.24
3.178786488,3.93
3.247069939,3.92
2.933913374,3.70
2.885816338,3.58
3.018872904,3.71
2.810862566,3.60
2.968142832,3.58
2.820692304,3.57
2.812441997,3.14
2.659374754,3.19
2.688689064,3.11
2.477343566,3.25
2.971302533,2.89
3.017117736,2.98
2.910567259,3.55
2.407480123,2.84
2.459789904,2.76
2.821921373,2.85
2.784356194,3.27
2.798926176,3.24
2.703785429,3.38
2.76065916,3.55
2.682369946,3.19
2.627953517,3.36
2.532988786,3.49
2.704487554,3.52
2.731168829,3.55
2.674821763,3.47
2.724498509,3.31
2.505604829,3.37
2.580032218,3.13
2.571957374,3.25
2.602852229,3.33
2.491737528,2.98
2.291626018,3.12
2.504376043,3.23
2.255114726,3.07
2.284078253,2.61
2.258449608,3.07
2.191746,3.13
2.270561875,2.58
2.126446646,2.40
1.99532099,2.37
2.310232862,2.53
2.205613301,2.91
2.2991742,3.01
2.273721293,2.92
2.248970794,2.95
2.131888176,2.88
1.968639298,2.96
1.999182672,2.49
2.152601395,2.88
16.16377272,3.27
16.17254131,18.21
15.02737997,20.41
15.57803971,20.01
15.72885701,19.61
15.79725221,20.25
15.2711436,19.68
15.4219609,19.75
15.39214925,19.85
16.18832501,19.76
16.11116232,19.78
16.5127583,20.37
15.95157648,20.98
16.84596019,20.24
15.69378374,20.93
15.51490834,20.16
15.72710462,20.12
15.58856294,19.99
16.82842301,20.28
16.27074816,21.12
15.7376256,20.13
17.09147506,20.20
16.40753525,21.09
16.63200931,20.46
17.27736557,20.74
16.71092434,21.65
16.73372314,20.86
15.90247306,21.03
16.40227584,20.82
15.62188157,21.71
15.5429665,20.59
16.66006858,20.84
15.9340393,21.12
16.19007734,20.38
15.83408006,19.65
15.56050258,20.06
16.93539619,20.75
15.79725221,21.89
16.76704176,19.96
16.70040115,21.59
15.59382451,21.63
15.94280789,19.60
16.43559562,20.17
17.17039349,21.57
16.60745592,21.49
16.06030651,19.74
16.70391149,20.16
16.29003883,20.96
16.18481914,20.22
16.5513385,20.51
