gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009810713788665711
time constant:,0.2
reference phase:,-11.598
notes:,"position 5, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
2.275e-05,-4.25e-06,5.050500000000001e-08,-9.435e-09,0,0
2.85e-05,-5.95e-06,6.327000000000001e-08,-1.3209e-08,1,0
2.705e-05,-1.035e-05,6.0051e-08,-2.2977e-08,2,0
5.43e-05,4.205e-05,1.20546e-07,9.335100000000001e-08,3,0
2.91e-05,-4.6e-06,6.4602e-08,-1.0212e-08,4,0
-3.4e-06,-4.6e-05,-7.548e-09,-1.0212e-07,5,0
-1.69e-05,-2.955e-05,-3.7518000000000005e-08,-6.5601e-08,6,0
2.175e-05,5e-07,4.8285000000000005e-08,1.1099999999999999e-09,7,0
2.865e-05,-1.06e-05,6.3603e-08,-2.3532000000000002e-08,8,0
2.315e-05,-1.36e-05,5.139300000000001e-08,-3.0192e-08,9,0
5.795e-05,1.35e-06,1.2864900000000003e-07,2.9970000000000003e-09,10,0
5.685e-05,-6.4e-06,1.26207e-07,-1.4208e-08,11,0
3.645e-05,-9e-07,8.0919e-08,-1.9980000000000003e-09,12,0
1.865e-05,-2.25e-06,4.1403000000000004e-08,-4.995e-09,13,0
2.985e-05,-8.5e-06,6.626700000000001e-08,-1.887e-08,14,0
3.345e-05,-6.65e-06,7.4259e-08,-1.4763000000000001e-08,0,1
2.55e-05,-2e-06,5.661e-08,-4.4399999999999996e-09,1,1
2.78e-05,-5.015e-05,6.171600000000001e-08,-1.1133300000000001e-07,2,1
4.3e-06,1.19e-05,9.546000000000002e-09,2.6418e-08,3,1
4.505e-05,-2.16e-05,1.0001100000000001e-07,-4.7952000000000005e-08,4,1
2.08e-05,3.65e-06,4.617600000000001e-08,8.103000000000001e-09,5,1
-4.855e-05,5.7e-06,-1.0778100000000002e-07,1.2653999999999999e-08,6,1
2.555e-05,-8.05e-06,5.672100000000001e-08,-1.7871e-08,7,1
1.71e-05,-7.45e-06,3.7962e-08,-1.6539000000000003e-08,8,1
3.245e-05,-1.215e-05,7.2039e-08,-2.6973000000000003e-08,9,1
2.565e-05,-5.5e-07,5.694300000000001e-08,-1.2210000000000002e-09,10,1
3.49e-05,-5.95e-06,7.7478e-08,-1.3209e-08,11,1
2.555e-05,-2.1e-06,5.672100000000001e-08,-4.662e-09,12,1
3.115e-05,-1.2e-05,6.915300000000001e-08,-2.6640000000000002e-08,13,1
3.935e-05,-1.5e-06,8.7357e-08,-3.3300000000000003e-09,14,1
2.565e-05,-2.6e-06,5.694300000000001e-08,-5.772000000000001e-09,0,2
2.015e-05,-2.2e-06,4.4733e-08,-4.884000000000001e-09,1,2
1.89e-05,-1.815e-05,4.1958e-08,-4.0293e-08,2,2
2.1e-05,-6.25e-06,4.662e-08,-1.3875000000000002e-08,3,2
7.96e-05,-8.88e-05,1.76712e-07,-1.9713600000000003e-07,4,2
2.135e-05,-9.5e-07,4.7397000000000004e-08,-2.109e-09,5,2
4.3e-06,-5.5e-06,9.546000000000002e-09,-1.221e-08,6,2
1.945e-05,-1.61e-05,4.3179e-08,-3.5742e-08,7,2
2.36e-05,6.2e-06,5.239200000000001e-08,1.3764e-08,8,2
3.83e-05,1.705e-05,8.502600000000001e-08,3.7851000000000006e-08,9,2
2.985e-05,-2.95e-06,6.626700000000001e-08,-6.549000000000001e-09,10,2
2.16e-05,1.45e-06,4.7952000000000005e-08,3.2190000000000006e-09,11,2
1.985e-05,-2.015e-05,4.4067000000000013e-08,-4.4733e-08,12,2
3.08e-05,-1.2e-06,6.837600000000002e-08,-2.6640000000000003e-09,13,2
3.765e-05,-3.65e-06,8.3583e-08,-8.103000000000001e-09,14,2
3.08e-05,-5.3e-06,6.837600000000002e-08,-1.1766000000000001e-08,0,3
2.645e-05,-1.645e-05,5.8719000000000005e-08,-3.6519e-08,1,3
2.345e-05,-2.85e-06,5.2059e-08,-6.326999999999999e-09,2,3
2.11e-05,-4.9e-06,4.684200000000001e-08,-1.0878e-08,3,3
3.325e-05,5.75e-06,7.381500000000002e-08,1.2765e-08,4,3
8.7e-06,2.37e-05,1.9314000000000003e-08,5.261400000000001e-08,5,3
1.455e-05,-2.35e-06,3.2301e-08,-5.2170000000000005e-09,6,3
-4.03e-05,3.75e-05,-8.9466e-08,8.325000000000001e-08,7,3
2.12e-05,-7.6e-06,4.7064000000000004e-08,-1.6872e-08,8,3
2.29e-05,-1e-06,5.0838e-08,-2.2199999999999998e-09,9,3
2.365e-05,-1.115e-05,5.2503000000000004e-08,-2.4753000000000003e-08,10,3
3.29e-05,-7.15e-06,7.3038e-08,-1.5873000000000003e-08,11,3
2.41e-05,1.4e-06,5.3502000000000005e-08,3.108e-09,12,3
2.52e-05,2.2e-06,5.594400000000001e-08,4.884000000000001e-09,13,3
-8.55e-06,8.7e-06,-1.8981e-08,1.9314000000000003e-08,14,3
6.68e-05,4.82e-05,1.4829600000000002e-07,1.0700400000000001e-07,0,4
2.255e-05,-9.3e-06,5.0061e-08,-2.0646000000000002e-08,1,4
7.65e-06,-3e-05,1.6983e-08,-6.66e-08,2,4
2.925e-05,-6.65e-06,6.4935e-08,-1.4763000000000001e-08,3,4
2.185e-05,-1.475e-05,4.8507e-08,-3.2745e-08,4,4
3.175e-05,6.91e-05,7.0485e-08,1.53402e-07,5,4
1.825e-05,-2e-06,4.0515e-08,-4.4399999999999996e-09,6,4
1.255e-05,-6.4e-06,2.7861000000000004e-08,-1.4208e-08,7,4
1.48e-05,-8.7e-06,3.2856000000000006e-08,-1.9314000000000003e-08,8,4
2.975e-05,-7.6e-06,6.604500000000001e-08,-1.6872e-08,9,4
5.06e-05,1.67e-05,1.12332e-07,3.7074000000000005e-08,10,4
3.325e-05,-2.6e-06,7.381500000000002e-08,-5.772000000000001e-09,11,4
4.96e-05,-8.3e-06,1.10112e-07,-1.8426000000000002e-08,12,4
4.92e-05,-1.075e-05,1.0922400000000003e-07,-2.3865000000000002e-08,13,4
2.175e-05,2.25e-06,4.8285000000000005e-08,4.995e-09,14,4
4.55e-06,-1e-06,1.0101e-08,-2.2199999999999998e-09,0,5
1.91e-05,-2.55e-06,4.2402000000000005e-08,-5.661e-09,1,5
2.69e-05,-6.65e-06,5.9718e-08,-1.4763000000000001e-08,2,5
5.09e-05,-1.23e-05,1.12998e-07,-2.7306000000000006e-08,3,5
-1.5e-06,-2.67e-05,-3.3300000000000003e-09,-5.9274000000000005e-08,4,5
