gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009794595020659972
time constant:,0.2
reference phase:,-11.598
notes:,"position 3, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
0.00011295,7.9e-06,2.50749e-07,1.7538000000000005e-08,0,0
9.74e-05,2.1e-05,2.16228e-07,4.662e-08,1,0
0.000109,9.85e-06,2.4198000000000005e-07,2.1867000000000003e-08,2,0
-1.16e-05,-3.085e-05,-2.5752000000000005e-08,-6.8487e-08,3,0
9.785e-05,5.2e-06,2.1722700000000004e-07,1.1544000000000002e-08,4,0
0.00010235,1.34e-05,2.2721700000000002e-07,2.9748000000000003e-08,5,0
9.51e-05,-7.975e-05,2.11122e-07,-1.7704500000000003e-07,6,0
0.000102,2.175e-05,2.2644e-07,4.8285000000000005e-08,7,0
9.655e-05,1.27e-05,2.1434100000000003e-07,2.8194000000000004e-08,8,0
0.00015915,4.64e-05,3.53313e-07,1.0300800000000002e-07,9,0
0.00010515,4.7e-06,2.3343300000000002e-07,1.0434000000000001e-08,10,0
0.00011185,3.725e-05,2.48307e-07,8.269500000000001e-08,11,0
9.745e-05,1.53e-05,2.1633900000000002e-07,3.3966e-08,12,0
0.00010045,1.68e-05,2.2299900000000005e-07,3.7296e-08,13,0
0.0001361,1.935e-05,3.0214200000000003e-07,4.2957000000000005e-08,14,0
7.135e-05,-2.64e-05,1.58397e-07,-5.8608000000000004e-08,0,1
9.775e-05,9.75e-06,2.1700500000000003e-07,2.1645e-08,1,1
0.000109,8.5e-06,2.4198000000000005e-07,1.887e-08,2,1
0.0001588,-8.85e-06,3.525360000000001e-07,-1.9647e-08,3,1
0.0001128,4.385e-05,2.5041600000000004e-07,9.734700000000002e-08,4,1
9.155e-05,1.22e-05,2.0324100000000004e-07,2.7084000000000003e-08,5,1
6.76e-05,2.085e-05,1.5007200000000002e-07,4.6286999999999996e-08,6,1
6.9e-05,3.15e-06,1.5318e-07,6.993000000000001e-09,7,1
8.95e-05,1.025e-05,1.9869000000000001e-07,2.2755e-08,8,1
9.51e-05,-4.45e-06,2.11122e-07,-9.879e-09,9,1
0.0001033,3.1e-06,2.2932600000000002e-07,6.882e-09,10,1
9.66e-05,8.7e-06,2.1445200000000005e-07,1.9314000000000003e-08,11,1
0.00014295,0.00010835,3.1734900000000004e-07,2.4053700000000003e-07,12,1
0.00010285,9.2e-06,2.2832700000000003e-07,2.0424e-08,13,1
0.00010625,7.1e-06,2.35875e-07,1.5762000000000002e-08,14,1
0.0001,1.4e-05,2.2200000000000003e-07,3.108e-08,0,2
8.59e-05,1.98e-05,1.9069800000000003e-07,4.3956000000000007e-08,1,2
0.00013535,8.355e-05,3.004770000000001e-07,1.8548100000000002e-07,2,2
8.86e-05,1.55e-05,1.9669200000000003e-07,3.441e-08,3,2
0.00011685,-6.5e-07,2.5940700000000004e-07,-1.4430000000000003e-09,4,2
9.415e-05,7e-06,2.0901300000000002e-07,1.554e-08,5,2
7.68e-05,1.035e-05,1.7049600000000002e-07,2.2977e-08,6,2
6.685e-05,1.455e-05,1.4840700000000001e-07,3.2301e-08,7,2
9.005e-05,2.045e-05,1.99911e-07,4.5399e-08,8,2
8.53e-05,7.6e-06,1.8936600000000003e-07,1.6872e-08,9,2
0.0001112,2.73e-05,2.4686400000000003e-07,6.060600000000001e-08,10,2
4.565e-05,9.945e-05,1.0134300000000001e-07,2.2077900000000002e-07,11,2
0.00010545,-1.365e-05,2.3409900000000004e-07,-3.0303000000000003e-08,12,2
9.505e-05,1.065e-05,2.1101100000000004e-07,2.3643000000000002e-08,13,2
8.875e-05,4.45e-06,1.9702500000000003e-07,9.879e-09,14,2
9.35e-05,1.225e-05,2.0757000000000002e-07,2.7195000000000003e-08,0,3
9.41e-05,-5.3e-06,2.0890200000000003e-07,-1.1766000000000001e-08,1,3
8.24e-05,-4.7e-06,1.82928e-07,-1.0434000000000001e-08,2,3
0.00012,1.85e-05,2.664e-07,4.107e-08,3,3
9.035e-05,6e-07,2.00577e-07,1.3320000000000002e-09,4,3
0.0001061,-5.35e-06,2.3554200000000003e-07,-1.1877e-08,5,3
8.215e-05,8.4e-06,1.8237300000000001e-07,1.8648e-08,6,3
5.39e-05,3.3e-06,1.1965800000000002e-07,7.3260000000000006e-09,7,3
8.045e-05,5.4e-06,1.7859900000000002e-07,1.1988000000000001e-08,8,3
9.71e-05,-1.93e-05,2.1556200000000003e-07,-4.284600000000001e-08,9,3
8.78e-05,3.395e-05,1.9491600000000002e-07,7.5369e-08,10,3
8.935e-05,9.5e-06,1.9835700000000003e-07,2.1090000000000002e-08,11,3
9.935e-05,3e-07,2.2055700000000003e-07,6.660000000000001e-10,12,3
9.09e-05,2.35e-06,2.0179800000000002e-07,5.2170000000000005e-09,13,3
7.965e-05,1.475e-05,1.7682300000000002e-07,3.2745e-08,14,3
8.885e-05,-1.95e-06,1.9724700000000002e-07,-4.329e-09,0,4
0.0001113,-3.6e-06,2.4708599999999997e-07,-7.992000000000001e-09,1,4
8e-05,9e-07,1.7760000000000003e-07,1.9980000000000003e-09,2,4
8.79e-05,2.56e-05,1.95138e-07,5.6832e-08,3,4
7.56e-05,1.52e-05,1.67832e-07,3.3744e-08,4,4
7.365e-05,1.9e-05,1.63503e-07,4.2180000000000004e-08,5,4
5.77e-05,-2.75e-06,1.28094e-07,-6.105e-09,6,4
5.05e-06,-5.25e-06,1.1211000000000002e-08,-1.1655e-08,7,4
8.85e-05,2.275e-05,1.9647e-07,5.050500000000001e-08,8,4
8.535e-05,8.25e-06,1.8947700000000002e-07,1.8315000000000002e-08,9,4
7.84e-05,4.35e-06,1.74048e-07,9.657000000000002e-09,10,4
0.00017655,-2.8e-05,3.9194100000000003e-07,-6.216e-08,11,4
9.89e-05,1.795e-05,2.1955800000000004e-07,3.9849e-08,12,4
8.04e-05,1.495e-05,1.7848800000000003e-07,3.318900000000001e-08,13,4
9.595e-05,2.55e-06,2.1300900000000002e-07,5.661e-09,14,4
9.11e-05,1.4e-05,2.0224200000000002e-07,3.108e-08,0,5
7.725e-05,1.005e-05,1.71495e-07,2.2311000000000004e-08,1,5
0.0001406,-1.87e-05,3.1213200000000003e-07,-4.1514000000000004e-08,2,5
7.185e-05,6.5e-07,1.59507e-07,1.4430000000000003e-09,3,5
5.495e-05,-7e-07,1.2198900000000002e-07,-1.554e-09,4,5
7.76e-05,1.2e-05,1.7227200000000002e-07,2.6640000000000002e-08,5,5
6.39e-05,1.26e-05,1.41858e-07,2.7972000000000004e-08,6,5
4.715e-05,7.3e-06,1.04673e-07,1.6206000000000003e-08,7,5
6.305e-05,1.75e-06,1.3997100000000003e-07,3.885e-09,8,5
7.41e-05,6.85e-06,1.6450200000000003e-07,1.5207000000000002e-08,9,5
7.795e-05,-2.45e-05,1.73049e-07,-5.4390000000000006e-08,10,5
7.91e-05,1.73e-05,1.75602e-07,3.8406000000000007e-08,11,5
9.155e-05,8.65e-06,2.0324100000000004e-07,1.9203000000000003e-08,12,5
8.14e-05,1.92e-05,1.80708e-07,4.2624000000000005e-08,13,5
4.33e-05,7.95e-05,9.612600000000001e-08,1.7649000000000001e-07,14,5
8.195e-05,1.07e-05,1.8192900000000001e-07,2.3754e-08,0,6
8.14e-05,7e-06,1.80708e-07,1.554e-08,1,6
7.755e-05,3.15e-06,1.7216100000000003e-07,6.993000000000001e-09,2,6
6.115e-05,-2.5e-07,1.35753e-07,-5.549999999999999e-10,3,6
8.205e-05,1.15e-05,1.8215100000000003e-07,2.553e-08,4,6
6.9e-05,4.45e-06,1.5318e-07,9.879e-09,5,6
5.825e-05,6e-06,1.2931500000000002e-07,1.3320000000000001e-08,6,6
3.695e-05,-4e-06,8.2029e-08,-8.879999999999999e-09,7,6
5.685e-05,3.355e-05,1.26207e-07,7.4481e-08,8,6
7.775e-05,1.45e-06,1.7260500000000003e-07,3.2190000000000006e-09,9,6
7.585e-05,-4.05e-06,1.68387e-07,-8.991000000000001e-09,10,6
7.905e-05,4.65e-06,1.75491e-07,1.0323000000000001e-08,11,6
8e-05,8.85e-06,1.7760000000000003e-07,1.9647e-08,12,6
6.16e-05,6.9e-06,1.3675200000000003e-07,1.5318000000000002e-08,13,6
7.575e-05,5.55e-06,1.6816500000000002e-07,1.2321000000000002e-08,14,6
1.835e-05,-3.15e-05,4.0737e-08,-6.993e-08,0,7
8.97e-05,8.2e-06,1.9913400000000001e-07,1.8204000000000002e-08,1,7
4.105e-05,-3.06e-05,9.113100000000001e-08,-6.7932e-08,2,7
8.69e-05,1.425e-05,1.92918e-07,3.1635000000000005e-08,3,7
7.275e-05,8.8e-06,1.6150500000000002e-07,1.9536000000000004e-08,4,7
9.78e-05,6.35e-05,2.1711600000000002e-07,1.4097e-07,5,7
5.165e-05,4.7e-06,1.1466300000000001e-07,1.0434000000000001e-08,6,7
3.435e-05,6e-06,7.6257e-08,1.3320000000000001e-08,7,7
5.045e-05,6.25e-06,1.1199900000000001e-07,1.3875000000000002e-08,8,7
0.0001022,3.765e-05,2.2688400000000004e-07,8.3583e-08,9,7
9.22e-05,-8.55e-06,2.0468400000000003e-07,-1.8981e-08,10,7
7.8e-05,1.965e-05,1.7316e-07,4.3623000000000006e-08,11,7
6.595e-05,2.25e-06,1.4640900000000002e-07,4.995e-09,12,7
4.955e-05,-5.855e-05,1.1000100000000001e-07,-1.29981e-07,13,7
8.215e-05,1.21e-05,1.8237300000000001e-07,2.6862000000000003e-08,14,7
6.595e-05,-3.05e-06,1.4640900000000002e-07,-6.771000000000001e-09,0,8
7.655e-05,3.9e-06,1.6994100000000003e-07,8.658e-09,1,8
7.16e-05,1.185e-05,1.58952e-07,2.6307000000000005e-08,2,8
1.535e-05,6.4e-06,3.407700000000001e-08,1.4208e-08,3,8
6.455e-05,2.07e-05,1.43301e-07,4.5954e-08,4,8
6.355e-05,2.37e-05,1.4108100000000002e-07,5.261400000000001e-08,5,8
3.17e-05,3.5e-06,7.0374e-08,7.77e-09,6,8
3.56e-05,-1.45e-06,7.9032e-08,-3.2190000000000006e-09,7,8
4.495e-05,6.35e-06,9.978900000000002e-08,1.4097000000000002e-08,8,8
5.9e-05,-9e-07,1.3098e-07,-1.9980000000000003e-09,9,8
8.455e-05,2.075e-05,1.87701e-07,4.6065e-08,10,8
2.95e-05,-0.0001149,6.549e-08,-2.55078e-07,11,8
7.105e-05,6.35e-06,1.5773100000000005e-07,1.4097000000000002e-08,12,8
7.925e-05,1.46e-05,1.7593500000000002e-07,3.2412000000000006e-08,13,8
6.62e-05,1.055e-05,1.46964e-07,2.3421000000000005e-08,14,8
6.615e-05,8.6e-06,1.4685300000000002e-07,1.9092000000000003e-08,0,9
3.87e-05,1.865e-05,8.591400000000001e-08,4.1403000000000004e-08,1,9
6.68e-05,1e-07,1.4829600000000002e-07,2.22e-10,2,9
7.765e-05,-6.55e-06,1.7238300000000002e-07,-1.4541000000000003e-08,3,9
5.955e-05,2.235e-05,1.32201e-07,4.961700000000001e-08,4,9
6.52e-05,9.85e-06,1.4474400000000002e-07,2.1867000000000003e-08,5,9
3.135e-05,1.5e-06,6.959700000000002e-08,3.3300000000000003e-09,6,9
8.5e-06,8.9e-06,1.887e-08,1.9758e-08,7,9
8.095e-05,2.775e-05,1.79709e-07,6.1605e-08,8,9
6.475e-05,6e-07,1.4374500000000002e-07,1.3320000000000002e-09,9,9
5.38e-05,1.015e-05,1.19436e-07,2.2533e-08,10,9
7.335e-05,1.535e-05,1.6283700000000002e-07,3.407700000000001e-08,11,9
7.48e-05,1.005e-05,1.6605600000000001e-07,2.2311000000000004e-08,12,9
6.46e-05,6.95e-06,1.4341200000000001e-07,1.5429000000000002e-08,13,9
4.35e-05,1.025e-05,9.657000000000001e-08,2.2755e-08,14,9
5.905e-05,-3.8e-06,1.3109100000000002e-07,-8.436e-09,0,10
6.365e-05,7.55e-06,1.41303e-07,1.6761e-08,1,10
6.04e-05,1.14e-05,1.34088e-07,2.5307999999999997e-08,2,10
5.58e-05,2.3e-06,1.2387600000000002e-07,5.106e-09,3,10
5.465e-05,-9.5e-06,1.21323e-07,-2.1090000000000002e-08,4,10
7.295e-05,1.35e-06,1.6194900000000002e-07,2.9970000000000003e-09,5,10
1.44e-05,2.67e-05,3.1968000000000005e-08,5.9274000000000005e-08,6,10
-3.8e-05,3.15e-06,-8.436000000000001e-08,6.993000000000001e-09,7,10
2.905e-05,9.1e-06,6.4491e-08,2.0202e-08,8,10
5.59e-05,9e-06,1.24098e-07,1.998e-08,9,10
6.935e-05,1.06e-05,1.5395700000000003e-07,2.3532000000000002e-08,10,10
9.015e-05,-2.19e-05,2.00133e-07,-4.8618000000000006e-08,11,10
3.44e-05,-1.425e-05,7.636800000000001e-08,-3.1635000000000005e-08,12,10
3.14e-05,0.0001157,6.9708e-08,2.56854e-07,13,10
7.065e-05,4.65e-06,1.5684300000000002e-07,1.0323000000000001e-08,14,10
6.825e-05,3.9e-06,1.5151500000000002e-07,8.658e-09,0,11
6.695e-05,9.15e-06,1.48629e-07,2.0313000000000005e-08,1,11
6.625e-05,1.26e-05,1.47075e-07,2.7972000000000004e-08,2,11
5.825e-05,1.635e-05,1.2931500000000002e-07,3.629700000000001e-08,3,11
6.445e-05,2.65e-06,1.43079e-07,5.8830000000000005e-09,4,11
7.53e-05,1.39e-05,1.67166e-07,3.0858000000000004e-08,5,11
2.315e-05,7.95e-06,5.139300000000001e-08,1.7649000000000005e-08,6,11
-1.985e-05,4.3e-06,-4.4067000000000013e-08,9.546000000000002e-09,7,11
2.96e-05,6.7e-06,6.571200000000001e-08,1.4874000000000001e-08,8,11
5.135e-05,5.6e-06,1.1399700000000001e-07,1.2432e-08,9,11
5.11e-05,4.06e-05,1.1344200000000002e-07,9.0132e-08,10,11
6.31e-05,1.075e-05,1.40082e-07,2.3865000000000002e-08,11,11
6.01e-05,-7e-06,1.3342200000000002e-07,-1.554e-08,12,11
5.36e-05,2.755e-05,1.1899200000000001e-07,6.1161e-08,13,11
5.92e-05,8.6e-06,1.3142400000000003e-07,1.9092000000000003e-08,14,11
2.19e-05,4.045e-05,4.8618000000000006e-08,8.979900000000001e-08,0,12
6.32e-05,3.15e-06,1.4030400000000004e-07,6.993000000000001e-09,1,12
5.4e-05,1.04e-05,1.1988e-07,2.3088000000000005e-08,2,12
2.42e-05,7.23e-05,5.3724000000000005e-08,1.6050600000000002e-07,3,12
5.065e-05,1.155e-05,1.1244300000000001e-07,2.5641e-08,4,12
5.24e-05,8.5e-07,1.1632800000000002e-07,1.887e-09,5,12
2.77e-05,1.015e-05,6.149400000000001e-08,2.2533e-08,6,12
7.2e-06,1.105e-05,1.5984000000000003e-08,2.4531e-08,7,12
2.27e-05,8.4e-06,5.039400000000001e-08,1.8648e-08,8,12
5.18e-05,-1.9e-06,1.14996e-07,-4.218e-09,9,12
5.125e-05,1e-07,1.13775e-07,2.22e-10,10,12
6.065e-05,1.06e-05,1.3464300000000002e-07,2.3532000000000002e-08,11,12
6.555e-05,7.6e-06,1.45521e-07,1.6872e-08,12,12
5.83e-05,8.1e-06,1.29426e-07,1.7982000000000002e-08,13,12
5.66e-05,3.68e-05,1.2565200000000002e-07,8.1696e-08,14,12
6.05e-05,9.1e-06,1.3431000000000002e-07,2.0202e-08,0,13
5.665e-05,-3.07e-05,1.25763e-07,-6.815400000000002e-08,1,13
5.83e-05,3.15e-06,1.29426e-07,6.993000000000001e-09,2,13
4.845e-05,5.185e-05,1.07559e-07,1.1510700000000001e-07,3,13
5.935e-05,9.95e-06,1.31757e-07,2.2089e-08,4,13
5.875e-05,1.18e-05,1.30425e-07,2.6196000000000005e-08,5,13
2.45e-05,-3.25e-06,5.4390000000000006e-08,-7.2150000000000004e-09,6,13
7e-06,8.35e-06,1.554e-08,1.8537000000000002e-08,7,13
-1.465e-05,4e-07,-3.2523000000000006e-08,8.88e-10,8,13
5.48e-05,-5e-06,1.2165600000000001e-07,-1.1100000000000002e-08,9,13
5.475e-05,2.115e-05,1.2154500000000002e-07,4.6953000000000004e-08,10,13
9.88e-05,8.535e-05,2.1933600000000003e-07,1.8947700000000002e-07,11,13
5.93e-05,-1.45e-06,1.31646e-07,-3.2190000000000006e-09,12,13
5.025e-05,1.005e-05,1.1155500000000001e-07,2.2311000000000004e-08,13,13
6.26e-05,8.45e-06,1.38972e-07,1.8759000000000003e-08,14,13
5.255e-05,5.1e-06,1.16661e-07,1.1322e-08,0,14
5.405e-05,8.25e-06,1.19991e-07,1.8315000000000002e-08,1,14
4.85e-05,4.2e-06,1.0767000000000001e-07,9.324e-09,2,14
3.485e-05,2.385e-05,7.736700000000001e-08,5.2947000000000004e-08,3,14
