gain:,10000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009799967322955523
time constant:,0.2
reference phase:,171.331
notes:,position 8
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-0.0003804,-2.09e-05,-8.44488e-08,-4.6398000000000005e-09,0,0
-0.0004908,-1.6e-05,-1.0895760000000001e-07,-3.5519999999999997e-09,1,0
-0.0003592,3.99e-05,-7.974240000000001e-08,8.8578e-09,2,0
-0.000366,-0.0001865,-8.1252e-08,-4.140300000000001e-08,3,0
-0.0002444,-6.27e-05,-5.42568e-08,-1.3919400000000004e-08,4,0
-0.0006673,-2.26e-05,-1.4814060000000003e-07,-5.0172000000000004e-09,5,0
-0.0003045,-1.3e-05,-6.7599e-08,-2.886e-09,6,0
-0.0003155,-5.9e-06,-7.004100000000001e-08,-1.3098000000000002e-09,7,0
-0.0004079,-1.9e-06,-9.055380000000001e-08,-4.2180000000000003e-10,8,0
-0.0003393,-1.8e-06,-7.53246e-08,-3.9960000000000005e-10,9,0
-8.12e-05,0.0001486,-1.80264e-08,3.29892e-08,10,0
-0.0003618,-1.53e-05,-8.03196e-08,-3.3966e-09,11,0
-0.0003258,4.22e-05,-7.232760000000002e-08,9.368400000000002e-09,12,0
-0.000489,-8.86e-05,-1.0855800000000001e-07,-1.9669200000000003e-08,13,0
-0.0003944,-1.35e-05,-8.755680000000001e-08,-2.9970000000000003e-09,14,0
-0.0003901,3.43e-05,-8.660220000000001e-08,7.6146e-09,0,1
-0.0003587,-0.0001137,-7.96314e-08,-2.5241400000000003e-08,1,1
-0.0004948,-7.22e-05,-1.0984560000000001e-07,-1.6028400000000005e-08,2,1
0.0004834,-0.0006026,1.0731480000000001e-07,-1.337772e-07,3,1
-0.0006094,-0.000266,-1.352868e-07,-5.905200000000001e-08,4,1
-0.0003884,-1.87e-05,-8.622480000000001e-08,-4.1514e-09,5,1
-0.000473,0.0001748,-1.0500600000000001e-07,3.88056e-08,6,1
-0.0003891,2.3e-06,-8.638020000000001e-08,5.106000000000001e-10,7,1
-0.0004922,6.8e-06,-1.0926840000000002e-07,1.5096e-09,8,1
-0.0003275,-4.59e-05,-7.2705e-08,-1.0189800000000001e-08,9,1
-0.0001918,-0.0003033,-4.2579600000000006e-08,-6.73326e-08,10,1
-0.0004166,-2.43e-05,-9.248520000000001e-08,-5.394600000000001e-09,11,1
-0.0002899,4.58e-05,-6.43578e-08,1.01676e-08,12,1
-0.000496,5.12e-05,-1.1011200000000001e-07,1.13664e-08,13,1
-0.0003353,2.54e-05,-7.443660000000001e-08,5.638800000000001e-09,14,1
-0.0001908,0.0001694,-4.2357600000000006e-08,3.76068e-08,0,2
-0.0003492,-7.84e-05,-7.75224e-08,-1.74048e-08,1,2
-0.0004992,-3.64e-05,-1.108224e-07,-8.0808e-09,2,2
-0.0004096,-4.38e-05,-9.09312e-08,-9.723600000000001e-09,3,2
-0.0003995,-2.91e-05,-8.868900000000001e-08,-6.4602000000000005e-09,4,2
