gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009805340555810615
time constant:,0.2
reference phase:,173.497
notes:,"position 5, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
3.38e-05,-8.8e-06,7.503600000000001e-08,-1.9536000000000004e-08,0,0
1.34e-05,1e-06,2.9748000000000003e-08,2.2199999999999998e-09,1,0
6.4e-05,-1.4e-05,1.4207999999999999e-07,-3.108e-08,2,0
1.4e-06,6.8e-06,3.108e-09,1.5096e-08,3,0
1.72e-05,2.18e-05,3.8184000000000006e-08,4.839600000000001e-08,4,0
1.82e-05,1.8e-05,4.0404e-08,3.996e-08,5,0
8.54e-05,6.2e-06,1.8958800000000002e-07,1.3764e-08,6,0
-4.8e-06,1.4e-06,-1.0656000000000001e-08,3.108e-09,7,0
1.66e-05,1.42e-05,3.6852000000000005e-08,3.1524000000000005e-08,8,0
9.4e-06,4.4e-06,2.0868000000000002e-08,9.768000000000002e-09,9,0
1.2e-05,3.2e-06,2.6640000000000002e-08,7.104e-09,10,0
1.02e-05,9.2e-06,2.2644e-08,2.0424e-08,11,0
2.64e-05,-1.08e-05,5.8608000000000004e-08,-2.3976000000000002e-08,12,0
-7.4e-06,2.72e-05,-1.6428000000000003e-08,6.0384e-08,13,0
1.64e-05,1.08e-05,3.6408000000000004e-08,2.3976000000000002e-08,14,0
4.4e-05,5.06e-05,9.768e-08,1.12332e-07,0,1
8.6e-06,1.3e-05,1.9092000000000003e-08,2.8860000000000002e-08,1,1
1.3e-05,1.98e-05,2.8860000000000002e-08,4.3956000000000007e-08,2,1
1.44e-05,-1.38e-05,3.1968000000000005e-08,-3.0636000000000004e-08,3,1
6.4e-06,5e-06,1.4208e-08,1.1100000000000002e-08,4,1
6.4e-06,-1.7e-05,1.4208e-08,-3.774e-08,5,1
8.2e-06,1e-05,1.8204000000000002e-08,2.2200000000000004e-08,6,1
1.48e-05,-1.6e-06,3.2856000000000006e-08,-3.552e-09,7,1
1.4e-05,-6.44e-05,3.108e-08,-1.42968e-07,8,1
1.3e-05,9.2e-06,2.8860000000000002e-08,2.0424e-08,9,1
2.12e-05,5.2e-06,4.7064000000000004e-08,1.1544000000000002e-08,10,1
3.02e-05,-2e-06,6.7044e-08,-4.4399999999999996e-09,11,1
1.48e-05,1.62e-05,3.2856000000000006e-08,3.5964000000000004e-08,12,1
1.14e-05,1.44e-05,2.5307999999999997e-08,3.1968000000000005e-08,13,1
1.8e-05,-2e-06,3.996e-08,-4.4399999999999996e-09,14,1
-2.4e-06,4.8e-06,-5.328000000000001e-09,1.0656000000000001e-08,0,2
8.8e-06,9.6e-06,1.9536000000000004e-08,2.1312000000000003e-08,1,2
9.2e-06,8e-06,2.0424e-08,1.7759999999999998e-08,2,2
1.08e-05,-2.4e-06,2.3976000000000002e-08,-5.328000000000001e-09,3,2
7.4e-06,1.28e-05,1.6428000000000003e-08,2.8416e-08,4,2
1.26e-05,1.98e-05,2.7972000000000004e-08,4.3956000000000007e-08,5,2
0.0001174,1.8e-05,2.60628e-07,3.996e-08,6,2
2.82e-05,-2.9e-05,6.260400000000001e-08,-6.438e-08,7,2
6e-06,-6.4e-06,1.3320000000000001e-08,-1.4208e-08,8,2
4.74e-05,3.84e-05,1.0522800000000002e-07,8.524800000000001e-08,9,2
4.6e-05,5.2e-06,1.0212e-07,1.1544000000000002e-08,10,2
3.28e-05,-5e-06,7.281600000000001e-08,-1.1100000000000002e-08,11,2
5e-06,9.4e-06,1.1100000000000002e-08,2.0868000000000002e-08,12,2
1.28e-05,-4.4e-06,2.8416e-08,-9.768000000000002e-09,13,2
1.84e-05,-6.8e-06,4.0848e-08,-1.5096e-08,14,2
3.46e-05,3.64e-05,7.681200000000001e-08,8.0808e-08,0,3
9.8e-06,1.06e-05,2.1756e-08,2.3532000000000002e-08,1,3
-2e-06,-1.58e-05,-4.4399999999999996e-09,-3.507600000000001e-08,2,3
3.4e-05,2.06e-05,7.548e-08,4.5732e-08,3,3
1.8e-05,-1.36e-05,3.996e-08,-3.0192e-08,4,3
9.8e-06,-3e-06,2.1756e-08,-6.6600000000000006e-09,5,3
1.9e-05,2.6e-06,4.2180000000000004e-08,5.772000000000001e-09,6,3
4.7e-05,-2.26e-05,1.0434e-07,-5.017200000000001e-08,7,3
2.68e-05,-1.06e-05,5.9496000000000005e-08,-2.3532000000000002e-08,8,3
1.34e-05,1.44e-05,2.9748000000000003e-08,3.1968000000000005e-08,9,3
2.4e-06,3e-06,5.328000000000001e-09,6.6600000000000006e-09,10,3
1.56e-05,7.6e-06,3.4632e-08,1.6872e-08,11,3
1.66e-05,9.8e-06,3.6852000000000005e-08,2.1756e-08,12,3
8e-06,-4e-07,1.7759999999999998e-08,-8.88e-10,13,3
-2.2e-06,2.84e-05,-4.884000000000001e-09,6.304800000000001e-08,14,3
-1.4e-06,-7e-06,-3.108e-09,-1.554e-08,0,4
1.24e-05,1.22e-05,2.7528e-08,2.7084000000000003e-08,1,4
5.8e-06,-1.2e-05,1.2876000000000002e-08,-2.6640000000000002e-08,2,4
1.14e-05,2.6e-06,2.5307999999999997e-08,5.772000000000001e-09,3,4
8.6e-06,1.06e-05,1.9092000000000003e-08,2.3532000000000002e-08,4,4
1.92e-05,0.0,4.2624000000000005e-08,0.0,5,4
3.48e-05,5.4e-06,7.725600000000001e-08,1.1988000000000001e-08,6,4
3.78e-05,2.4e-06,8.3916e-08,5.328000000000001e-09,7,4
-8.8e-06,-2e-06,-1.9536000000000004e-08,-4.4399999999999996e-09,8,4
2.46e-05,1.22e-05,5.461200000000001e-08,2.7084000000000003e-08,9,4
3e-05,1.4e-06,6.66e-08,3.108e-09,10,4
1.9e-05,-9.6e-06,4.2180000000000004e-08,-2.1312000000000003e-08,11,4
9e-06,-1.24e-05,1.998e-08,-2.7528e-08,12,4
