% Model,one wire_deltaS_B5-2.mph
% Version,COMSOL 5.4.0.388
% Date,"Nov 24 2019, 14:03"
% Table,b5-table41 - 
% count,"Electric potential (V), Point: (0.109, -5, 0.063348)"
1,2.2151677616274886E-8
2,1.1147384577046036E-8
3,5.513772637587092E-9
4,6.0966025986494935E-9
5,7.367235020343567E-9
6,1.1141266610760663E-8
7,1.0024924446967032E-8
8,6.046880718897084E-9
9,3.225226139593721E-9
10,5.6661802877269075E-9
11,7.0121365182344925E-9
12,9.386278185905529E-9
13,8.914249497185837E-9
14,4.280004669503127E-9
15,-1.005287206394443E-9
16,4.8285931123225765E-9
17,1.0822519493937209E-8
18,1.0989492406268194E-8
19,7.619425378547245E-9
20,6.455867106106764E-9
21,6.585888174487555E-9
22,8.304339954772848E-9
23,1.279014450937622E-8
24,8.096312331863133E-9
25,-3.093558968912319E-9
26,2.636178563798969E-10
27,-4.662241297561265E-9
28,-2.219419968744218E-8
29,-2.3927220054067235E-8
30,-1.1234010314628219E-8
31,-7.200924374298576E-9
32,-5.927144689416886E-9
33,-5.567725866305166E-9
34,-5.411641805772234E-9
35,-5.555134282551195E-9
36,-5.890962283579964E-9
37,-6.949102025333975E-9
38,-1.039018978144537E-8
39,-2.041338863333065E-8
40,-5.3143100915790304E-8
41,-5.8182230467357944E-8
42,-2.3659853446578505E-8
